X..Input	ChemicalName	ChemicalId	CasRN	GeneSymbol	GeneId	Organism	OrganismId	PubMedIds
90-15-3	1-naphthol	C029350	90-15-3	AR	367	Rattus norvegicus	10116	3695475
90-15-3	1-naphthol	C029350	90-15-3	NR1I2	8856	Rattus norvegicus	10116	27665777
90-15-3	1-naphthol	C029350	90-15-3	NR1I3	9970	Rattus norvegicus	10116	27665777
90-15-3	1-naphthol	C029350	90-15-3	PPARA	5465	Rattus norvegicus	10116	27665777
90-15-3	1-naphthol	C029350	90-15-3	UGT1A6	54578	Rattus norvegicus	10116	19023562
90-15-3	1-naphthol	C029350	90-15-3	UGT1A7	54577	Rattus norvegicus	10116	15502008|22846377
90-15-3	1-naphthol	C029350	90-15-3	UGT1A8	54576	Rattus norvegicus	10116	15502008
90-15-3	1-naphthol	C029350	90-15-3	UGT2B1	71773	Rattus norvegicus	10116	8302279
90-15-3	1-naphthol	C029350	90-15-3	UGT2B15	7366	Rattus norvegicus	10116	7574722
90-15-3	1-naphthol	C029350	90-15-3	AHR	196	Mus musculus	10090	27837168
90-15-3	1-naphthol	C029350	90-15-3	CYP1B1	1545	Mus musculus	10090	27837168
90-15-3	1-naphthol	C029350	90-15-3	SULT3A1	57430	Mus musculus	10090	18725199
90-15-3	1-naphthol	C029350	90-15-3	UGT1A6A	94284	Mus musculus	10090	8068691
90-15-3	1-naphthol	C029350	90-15-3	CYP1A1	1543	Homo sapiens	9606	16243959
90-15-3	1-naphthol	C029350	90-15-3	CYP1A2	1544	Homo sapiens	9606	15916432
90-15-3	1-naphthol	C029350	90-15-3	CYP1B1	1545	Homo sapiens	9606	16243959
90-15-3	1-naphthol	C029350	90-15-3	CYP2A13	1553	Homo sapiens	9606	27137136
90-15-3	1-naphthol	C029350	90-15-3	CYP2A6	1548	Homo sapiens	9606	16243959|27137136
90-15-3	1-naphthol	C029350	90-15-3	CYP2B6	1555	Homo sapiens	9606	16243959
90-15-3	1-naphthol	C029350	90-15-3	CYP2C19	1557	Homo sapiens	9606	16243959
90-15-3	1-naphthol	C029350	90-15-3	CYP2C8	1558	Homo sapiens	9606	16243959
90-15-3	1-naphthol	C029350	90-15-3	CYP2C9	1559	Homo sapiens	9606	16243959
90-15-3	1-naphthol	C029350	90-15-3	CYP2D6	1565	Homo sapiens	9606	16243959
90-15-3	1-naphthol	C029350	90-15-3	CYP2E1	1571	Homo sapiens	9606	16243959
90-15-3	1-naphthol	C029350	90-15-3	CYP3A4	1576	Homo sapiens	9606	16243959
90-15-3	1-naphthol	C029350	90-15-3	CYP3A5	1577	Homo sapiens	9606	16243959
90-15-3	1-naphthol	C029350	90-15-3	CYP3A7	1551	Homo sapiens	9606	16243959
90-15-3	1-naphthol	C029350	90-15-3	ESR2	2100	Homo sapiens	9606	22989670
90-15-3	1-naphthol	C029350	90-15-3	JAG1	182	Homo sapiens	9606	22989670
90-15-3	1-naphthol	C029350	90-15-3	NRIP1	8204	Homo sapiens	9606	22989670
90-15-3	1-naphthol	C029350	90-15-3	SULT1A1	6817	Homo sapiens	9606	15684482
90-15-3	1-naphthol	C029350	90-15-3	SULT1A3	6818	Homo sapiens	9606	15684482
90-15-3	1-naphthol	C029350	90-15-3	THRB	7068	Homo sapiens	9606	18584933
90-15-3	1-naphthol	C029350	90-15-3	TRPA1	8989	Homo sapiens	9606	29658714
90-15-3	1-naphthol	C029350	90-15-3	TRPV3	162514	Homo sapiens	9606	29658714
90-15-3	1-naphthol	C029350	90-15-3	UGT1A6	54578	Homo sapiens	9606	7646562
90-15-3	1-naphthol	C029350	90-15-3	UGT1A9	54600	Homo sapiens	9606	15044611|18816295
90-15-3	1-naphthol	C029350	90-15-3	UGT2A1	10941	Homo sapiens	9606	21164388
90-15-3	1-naphthol	C029350	90-15-3	UGT2B11	10720	Homo sapiens	9606	8333863
90-15-3	1-naphthol	C029350	90-15-3	UGT2B15	7366	Homo sapiens	9606	7835232
