X..Input	ChemicalName	ChemicalId	CasRN	GeneSymbol	GeneId	Organism	OrganismId	PubMedIds
57465-28-8	"3,4,5,3',4'-pentachlorobiphenyl"	C023035	57465-28-8	ABCA1	19	Homo sapiens	9606	21703328
57465-28-8	"3,4,5,3',4'-pentachlorobiphenyl"	C023035	57465-28-8	ABCG2	9429	Homo sapiens	9606	29947894
57465-28-8	"3,4,5,3',4'-pentachlorobiphenyl"	C023035	57465-28-8	ACSBG2	81616	Homo sapiens	9606	23146750
57465-28-8	"3,4,5,3',4'-pentachlorobiphenyl"	C023035	57465-28-8	ACSL5	51703	Homo sapiens	9606	19692669
57465-28-8	"3,4,5,3',4'-pentachlorobiphenyl"	C023035	57465-28-8	ACTL7B	10880	Homo sapiens	9606	23146750
57465-28-8	"3,4,5,3',4'-pentachlorobiphenyl"	C023035	57465-28-8	ACTRT2	140625	Homo sapiens	9606	23146750
57465-28-8	"3,4,5,3',4'-pentachlorobiphenyl"	C023035	57465-28-8	ADAMTSL2	9719	Homo sapiens	9606	23146750
57465-28-8	"3,4,5,3',4'-pentachlorobiphenyl"	C023035	57465-28-8	ADAMTSL5	339366	Homo sapiens	9606	23146750
57465-28-8	"3,4,5,3',4'-pentachlorobiphenyl"	C023035	57465-28-8	ADGRG2	10149	Homo sapiens	9606	19692669
57465-28-8	"3,4,5,3',4'-pentachlorobiphenyl"	C023035	57465-28-8	ADH1B	125	Homo sapiens	9606	27055685
57465-28-8	"3,4,5,3',4'-pentachlorobiphenyl"	C023035	57465-28-8	ADH4	127	Homo sapiens	9606	27055685
57465-28-8	"3,4,5,3',4'-pentachlorobiphenyl"	C023035	57465-28-8	ADH6	130	Homo sapiens	9606	27055685
57465-28-8	"3,4,5,3',4'-pentachlorobiphenyl"	C023035	57465-28-8	ADIPOQ	9370	Homo sapiens	9606	25304490
57465-28-8	"3,4,5,3',4'-pentachlorobiphenyl"	C023035	57465-28-8	AGTR1	185	Homo sapiens	9606	14962509
57465-28-8	"3,4,5,3',4'-pentachlorobiphenyl"	C023035	57465-28-8	AHR	196	Homo sapiens	9606	16705413
57465-28-8	"3,4,5,3',4'-pentachlorobiphenyl"	C023035	57465-28-8	AHRR	57491	Homo sapiens	9606	21703328|23146750|29738842
57465-28-8	"3,4,5,3',4'-pentachlorobiphenyl"	C023035	57465-28-8	AKR1D1	6718	Homo sapiens	9606	19692669
57465-28-8	"3,4,5,3',4'-pentachlorobiphenyl"	C023035	57465-28-8	AKT1	207	Homo sapiens	9606	21703328
