X..Input	ChemicalName	ChemicalId	CasRN	GeneSymbol	GeneId	Organism	OrganismId	PubMedIds
108-38-3	3-xylene	C031285	108-38-3	CCL2	6347	Homo sapiens	9606	17993253
108-38-3	3-xylene	C031285	108-38-3	CHRNA10	57053	Homo sapiens	9606	18602458
108-38-3	3-xylene	C031285	108-38-3	CHRNA9	55584	Homo sapiens	9606	18602458
108-38-3	3-xylene	C031285	108-38-3	CXCL8	3576	Homo sapiens	9606	17993253
108-38-3	3-xylene	C031285	108-38-3	CYP1A2	1544	Homo sapiens	9606	8558417
108-38-3	3-xylene	C031285	108-38-3	CYP2A6	1548	Homo sapiens	9606	17156750
108-38-3	3-xylene	C031285	108-38-3	CYP2E1	1571	Homo sapiens	9606	10353308
108-38-3	3-xylene	C031285	108-38-3	CAT	847	Rattus norvegicus	10116	12765247
108-38-3	3-xylene	C031285	108-38-3	CBR1	873	Rattus norvegicus	10116	12815608
108-38-3	3-xylene	C031285	108-38-3	CCL2	6347	Rattus norvegicus	10116	15902427
108-38-3	3-xylene	C031285	108-38-3	CDO1	1036	Rattus norvegicus	10116	12815608
108-38-3	3-xylene	C031285	108-38-3	CLU	1191	Rattus norvegicus	10116	12815608
108-38-3	3-xylene	C031285	108-38-3	COX8B	12869	Rattus norvegicus	10116	12815608
108-38-3	3-xylene	C031285	108-38-3	CYB5A	1528	Rattus norvegicus	10116	12815608
108-38-3	3-xylene	C031285	108-38-3	CYP1A1	1543	Rattus norvegicus	10116	15204773|8296328
108-38-3	3-xylene	C031285	108-38-3	CYP1A2	1544	Rattus norvegicus	10116	8598570
108-38-3	3-xylene	C031285	108-38-3	CYP2A1	24894	Rattus norvegicus	10116	15204773
108-38-3	3-xylene	C031285	108-38-3	CYP2B1	24300	Rattus norvegicus	10116	15204773|8296328
108-38-3	3-xylene	C031285	108-38-3	CYP2B2	361523	Rattus norvegicus	10116	8135039
108-38-3	3-xylene	C031285	108-38-3	CYP2C	100328933	Rattus norvegicus	10116	12815608
108-38-3	3-xylene	C031285	108-38-3	CYP2E1	1571	Rattus norvegicus	10116	15204773|8598570
108-38-3	3-xylene	C031285	108-38-3	CYP4B1	1580	Rattus norvegicus	10116	15204773
108-38-3	3-xylene	C031285	108-38-3	HMGCR	3156	Rattus norvegicus	10116	12815608
108-38-3	3-xylene	C031285	108-38-3	HSPB6	126393	Rattus norvegicus	10116	12815608
108-38-3	3-xylene	C031285	108-38-3	IL15	3600	Rattus norvegicus	10116	12815608
108-38-3	3-xylene	C031285	108-38-3	IL18	3606	Rattus norvegicus	10116	12815608
108-38-3	3-xylene	C031285	108-38-3	IL1A	3552	Rattus norvegicus	10116	12717741|15902427
108-38-3	3-xylene	C031285	108-38-3	KNG1	3827	Rattus norvegicus	10116	12815608
108-38-3	3-xylene	C031285	108-38-3	MYC	4609	Rattus norvegicus	10116	12815608
108-38-3	3-xylene	C031285	108-38-3	NOS2	4843	Rattus norvegicus	10116	12717741
108-38-3	3-xylene	C031285	108-38-3	PPARG	5468	Rattus norvegicus	10116	12815608
108-38-3	3-xylene	C031285	108-38-3	SULT1A1	6817	Rattus norvegicus	10116	12815608
108-38-3	3-xylene	C031285	108-38-3	TGFB3	7043	Rattus norvegicus	10116	12815608
108-38-3	3-xylene	C031285	108-38-3	TNF	7124	Rattus norvegicus	10116	15902427
108-38-3	3-xylene	C031285	108-38-3	TOP2B	7155	Rattus norvegicus	10116	12815608
