X..Input	ChemicalName	ChemicalId	CasRN	GeneSymbol	GeneId	Organism	OrganismId	PubMedIds
106-46-7	dichlorobenzene	C018511	106-46-7	CYP1A1	1543	Homo sapiens	9606	7747284
106-46-7	dichlorobenzene	C018511	106-46-7	CYP1A2	1544	Homo sapiens	9606	7747284
106-46-7	dichlorobenzene	C018511	106-46-7	CYP2E1	1571	Homo sapiens	9606	7747284
106-46-7	dichlorobenzene	C018511	106-46-7	CYP3A4	1576	Homo sapiens	9606	9817075
106-46-7	dichlorobenzene	C018511	106-46-7	ESR1	2099	Homo sapiens	9606	12558164
106-46-7	dichlorobenzene	C018511	106-46-7	AAMP	14	Mus musculus	10090	26975756
106-46-7	dichlorobenzene	C018511	106-46-7	ABCF2	10061	Mus musculus	10090	26975756
106-46-7	dichlorobenzene	C018511	106-46-7	ACN9	100168165	Mus musculus	10090	26975756
106-46-7	dichlorobenzene	C018511	106-46-7	ACP5	54	Mus musculus	10090	26975756
106-46-7	dichlorobenzene	C018511	106-46-7	AFF1	4299	Mus musculus	10090	26975756
106-46-7	dichlorobenzene	C018511	106-46-7	AGAP3	116988	Mus musculus	10090	26975756
106-46-7	dichlorobenzene	C018511	106-46-7	AP2B1	163	Mus musculus	10090	26975756
106-46-7	dichlorobenzene	C018511	106-46-7	CDC42	998	Mus musculus	10090	26975756
106-46-7	dichlorobenzene	C018511	106-46-7	CENPM	79019	Mus musculus	10090	26975756
106-46-7	dichlorobenzene	C018511	106-46-7	CHCHD7	79145	Mus musculus	10090	26975756
106-46-7	dichlorobenzene	C018511	106-46-7	CLCN5	1184	Mus musculus	10090	26975756
106-46-7	dichlorobenzene	C018511	106-46-7	CYP2B10	13088	Mus musculus	10090	28541575
106-46-7	dichlorobenzene	C018511	106-46-7	CYP2C55	72082	Mus musculus	10090	28541575
106-46-7	dichlorobenzene	C018511	106-46-7	DBI	1622	Mus musculus	10090	26975756
106-46-7	dichlorobenzene	C018511	106-46-7	DUSP27	92235	Mus musculus	10090	26975756
106-46-7	dichlorobenzene	C018511	106-46-7	EIF4A1	1973	Mus musculus	10090	26975756
106-46-7	dichlorobenzene	C018511	106-46-7	FANCE	2178	Mus musculus	10090	26975756
106-46-7	dichlorobenzene	C018511	106-46-7	GNL3L	54552	Mus musculus	10090	26975756
106-46-7	dichlorobenzene	C018511	106-46-7	GSTM1	2944	Mus musculus	10090	28541575
106-46-7	dichlorobenzene	C018511	106-46-7	HMOX1	3162	Mus musculus	10090	25690736
106-46-7	dichlorobenzene	C018511	106-46-7	IFITM1	8519	Mus musculus	10090	26975756
106-46-7	dichlorobenzene	C018511	106-46-7	KLHDC3	116138	Mus musculus	10090	26975756
106-46-7	dichlorobenzene	C018511	106-46-7	LGALS3	3958	Mus musculus	10090	26975756
106-46-7	dichlorobenzene	C018511	106-46-7	LRRC8D	55144	Mus musculus	10090	26975756
106-46-7	dichlorobenzene	C018511	106-46-7	LUC7L2	51631	Mus musculus	10090	26975756
106-46-7	dichlorobenzene	C018511	106-46-7	MAN2C1OS	76794	Mus musculus	10090	26975756
106-46-7	dichlorobenzene	C018511	106-46-7	MAPK1IP1	69546	Mus musculus	10090	26975756
106-46-7	dichlorobenzene	C018511	106-46-7	MIR17HG	407975	Mus musculus	10090	26975756
106-46-7	dichlorobenzene	C018511	106-46-7	MLX	6945	Mus musculus	10090	26975756
106-46-7	dichlorobenzene	C018511	106-46-7	MND1-PS	100042415	Mus musculus	10090	26975756
106-46-7	dichlorobenzene	C018511	106-46-7	MSI2	124540	Mus musculus	10090	26975756
106-46-7	dichlorobenzene	C018511	106-46-7	MYMX	101929726	Mus musculus	10090	26975756
106-46-7	dichlorobenzene	C018511	106-46-7	NAA20	51126	Mus musculus	10090	26975756
106-46-7	dichlorobenzene	C018511	106-46-7	NFE2L2	4780	Mus musculus	10090	30114225|30203046
106-46-7	dichlorobenzene	C018511	106-46-7	NR1I3	9970	Mus musculus	10090	30203046
106-46-7	dichlorobenzene	C018511	106-46-7	ORC6	23594	Mus musculus	10090	26975756
106-46-7	dichlorobenzene	C018511	106-46-7	PPARA	5465	Mus musculus	10090	30203046
106-46-7	dichlorobenzene	C018511	106-46-7	PTPN11	5781	Mus musculus	10090	26975756
106-46-7	dichlorobenzene	C018511	106-46-7	RPL35A	6165	Mus musculus	10090	26975756
106-46-7	dichlorobenzene	C018511	106-46-7	RPS24	6229	Mus musculus	10090	26975756
106-46-7	dichlorobenzene	C018511	106-46-7	SCARNA3A	100217414	Mus musculus	10090	26975756
106-46-7	dichlorobenzene	C018511	106-46-7	SMARCD2	6603	Mus musculus	10090	26975756
106-46-7	dichlorobenzene	C018511	106-46-7	SNHG14	104472715	Mus musculus	10090	26975756
106-46-7	dichlorobenzene	C018511	106-46-7	SNORA41	619569	Mus musculus	10090	26975756
106-46-7	dichlorobenzene	C018511	106-46-7	SPP1	6696	Mus musculus	10090	26975756
106-46-7	dichlorobenzene	C018511	106-46-7	SUZ12	23512	Mus musculus	10090	26975756
106-46-7	dichlorobenzene	C018511	106-46-7	TGIF1	7050	Mus musculus	10090	26975756
106-46-7	dichlorobenzene	C018511	106-46-7	TMEM179B	374395	Mus musculus	10090	26975756
106-46-7	dichlorobenzene	C018511	106-46-7	TNPO2	30000	Mus musculus	10090	26975756
