X..Input	ChemicalName	ChemicalId	CasRN	GeneSymbol	GeneId	Organism	OrganismId	PubMedIds
72-55-9	Dichlorodiphenyl Dichloroethylene	D003633	72-55-9	1-SF	100049428	Oryzias latipes	8090	18595403
72-55-9	Dichlorodiphenyl Dichloroethylene	D003633	72-55-9	AB124611	382062	Mus spretus	10096	29554563
72-55-9	Dichlorodiphenyl Dichloroethylene	D003633	72-55-9	ABCB1	5243	Homo sapiens	9606	15710169
72-55-9	Dichlorodiphenyl Dichloroethylene	D003633	72-55-9	ABCB1	5243	Homo sapiens	9606	15710169
72-55-9	Dichlorodiphenyl Dichloroethylene	D003633	72-55-9	ABCB11	8647	Homo sapiens	9606	28392238
72-55-9	Dichlorodiphenyl Dichloroethylene	D003633	72-55-9	ABCB11	8647	Mus musculus	10090	28392238
72-55-9	Dichlorodiphenyl Dichloroethylene	D003633	72-55-9	ABCB1A	18671	Mus musculus	10090	15710169
72-55-9	Dichlorodiphenyl Dichloroethylene	D003633	72-55-9	ABCB1B	18669	Mus musculus	10090	15710169
72-55-9	Dichlorodiphenyl Dichloroethylene	D003633	72-55-9	ABCC2	1244	Mus musculus	10090	28392238
72-55-9	Dichlorodiphenyl Dichloroethylene	D003633	72-55-9	ABCC3	8714	Mus spretus	10096	29554563
72-55-9	Dichlorodiphenyl Dichloroethylene	D003633	72-55-9	ABCG2	9429	Homo sapiens	9606	23169446
72-55-9	Dichlorodiphenyl Dichloroethylene	D003633	72-55-9	ABCG8	64241	Homo sapiens	9606	27203212
72-55-9	Dichlorodiphenyl Dichloroethylene	D003633	72-55-9	ABP1	39520	Mus spretus	10096	28651089
72-55-9	Dichlorodiphenyl Dichloroethylene	D003633	72-55-9	ACACA	31	Mus musculus	10090	25541407
72-55-9	Dichlorodiphenyl Dichloroethylene	D003633	72-55-9	ACADM	34	Homo sapiens	9606	28397872
72-55-9	Dichlorodiphenyl Dichloroethylene	D003633	72-55-9	ACADS	35	Homo sapiens	9606	28397872
72-55-9	Dichlorodiphenyl Dichloroethylene	D003633	72-55-9	ACOX1	51	Mus musculus	10090	25541407
72-55-9	Dichlorodiphenyl Dichloroethylene	D003633	72-55-9	ACTA1	58	Mus spretus	10096	29481894
72-55-9	Dichlorodiphenyl Dichloroethylene	D003633	72-55-9	ACTB	60	Mus spretus	10096	29481894
72-55-9	Dichlorodiphenyl Dichloroethylene	D003633	72-55-9	ACTG1	71	Mus spretus	10096	29481894
72-55-9	Dichlorodiphenyl Dichloroethylene	D003633	72-55-9	ACTN1	87	Rattus norvegicus	10116	25607892
72-55-9	Dichlorodiphenyl Dichloroethylene	D003633	72-55-9	ACVR1C	130399	Homo sapiens	9606	19422813
72-55-9	Dichlorodiphenyl Dichloroethylene	D003633	72-55-9	ACVRL1	94	Homo sapiens	9606	19422813
72-55-9	Dichlorodiphenyl Dichloroethylene	D003633	72-55-9	ADGRV1	84059	Mus spretus	10096	29554563
72-55-9	Dichlorodiphenyl Dichloroethylene	D003633	72-55-9	ADH1	11522	Mus spretus	10096	29554563
72-55-9	Dichlorodiphenyl Dichloroethylene	D003633	72-55-9	ADIPOQ	9370	Mus musculus	10090	21044676
72-55-9	Dichlorodiphenyl Dichloroethylene	D003633	72-55-9	ADIPOQ	9370	Mus musculus	10090	21044676
72-55-9	Dichlorodiphenyl Dichloroethylene	D003633	72-55-9	ADIPOQ	9370	Mus musculus	10090	25541407
72-55-9	Dichlorodiphenyl Dichloroethylene	D003633	72-55-9	ADM	133	Rattus norvegicus	10116	15885261
72-55-9	Dichlorodiphenyl Dichloroethylene	D003633	72-55-9	ADPRH	141	Mus spretus	10096	29554563
72-55-9	Dichlorodiphenyl Dichloroethylene	D003633	72-55-9	AHNAK	79026	Mus spretus	10096	29554563
72-55-9	Dichlorodiphenyl Dichloroethylene	D003633	72-55-9	AHR	196	Homo sapiens	9606	25084496
72-55-9	Dichlorodiphenyl Dichloroethylene	D003633	72-55-9	AHR	196	Homo sapiens	9606	25316167
72-55-9	Dichlorodiphenyl Dichloroethylene	D003633	72-55-9	AHR	196	Homo sapiens	9606	25316167
72-55-9	Dichlorodiphenyl Dichloroethylene	D003633	72-55-9	AHR	196	Mus spretus	10096	28651089
72-55-9	Dichlorodiphenyl Dichloroethylene	D003633	72-55-9	AKIP1	56672	Mus spretus	10096	29554563
72-55-9	Dichlorodiphenyl Dichloroethylene	D003633	72-55-9	AKR1B1	231	Bos taurus	9913	27894940
72-55-9	Dichlorodiphenyl Dichloroethylene	D003633	72-55-9	AKR1B10	57016	Mus spretus	10096	29554563
72-55-9	Dichlorodiphenyl Dichloroethylene	D003633	72-55-9	AKR1C19	432720	Mus spretus	10096	29554563
72-55-9	Dichlorodiphenyl Dichloroethylene	D003633	72-55-9	ALB	213	Bos taurus	9913	12049848
72-55-9	Dichlorodiphenyl Dichloroethylene	D003633	72-55-9	ALK	238	Homo sapiens	9606	19422813
72-55-9	Dichlorodiphenyl Dichloroethylene	D003633	72-55-9	ALK	238	Homo sapiens	9606	28263720
72-55-9	Dichlorodiphenyl Dichloroethylene	D003633	72-55-9	ALPL	249	Homo sapiens	9606	29149346
72-55-9	Dichlorodiphenyl Dichloroethylene	D003633	72-55-9	AMPD3	272	Rattus norvegicus	10116	15885261
72-55-9	Dichlorodiphenyl Dichloroethylene	D003633	72-55-9	ANG3	11730	Mus spretus	10096	29554563
72-55-9	Dichlorodiphenyl Dichloroethylene	D003633	72-55-9	AOC3	8639	Mus spretus	10096	28651089
72-55-9	Dichlorodiphenyl Dichloroethylene	D003633	72-55-9	APAF1	317	Rattus norvegicus	10116	25410718
72-55-9	Dichlorodiphenyl Dichloroethylene	D003633	72-55-9	APOA-IV4	503508	Micropterus salmoides	27706	27391359
72-55-9	Dichlorodiphenyl Dichloroethylene	D003633	72-55-9	APOB	338	Mus spretus	10096	29554563
72-55-9	Dichlorodiphenyl Dichloroethylene	D003633	72-55-9	APOE	348	Homo sapiens	9606	24473795
72-55-9	Dichlorodiphenyl Dichloroethylene	D003633	72-55-9	APP	351	Homo sapiens	9606	24473795
72-55-9	Dichlorodiphenyl Dichloroethylene	D003633	72-55-9	APRT	353	Mus spretus	10096	28651089
72-55-9	Dichlorodiphenyl Dichloroethylene	D003633	72-55-9	AR	367	Cricetulus griseus	10029	18310895
