X..Input	ChemicalName	ChemicalId	CasRN	GeneSymbol	GeneId	Organism	OrganismId	PubMedIds
deet	DEET	D003671	134-62-3	A1BG-AS1	503538	Homo sapiens	9606	28991164
deet	DEET	D003671	134-62-3	ABCB11	8647	Homo sapiens	9606	27091632
deet	DEET	D003671	134-62-3	ABCC6P1	653190	Homo sapiens	9606	28991164
deet	DEET	D003671	134-62-3	ACHE	43	Homo sapiens	9606	21354413
deet	DEET	D003671	134-62-3	ACHE	43	Rattus norvegicus	10116	11248143|14713564
deet	DEET	D003671	134-62-3	ACHE	43	Rattus norvegicus	10116	14713564
deet	DEET	D003671	134-62-3	ACHE	43	Rattus norvegicus	10116	14713564
deet	DEET	D003671	134-62-3	ACHE	43	Rattus norvegicus	10116	11248143
deet	DEET	D003671	134-62-3	ACHE	43	Rattus norvegicus	10116	14751452
deet	DEET	D003671	134-62-3	ACHE	43	Rattus norvegicus	10116	11248143|14751452
deet	DEET	D003671	134-62-3	ACHE	43	Rattus norvegicus	10116	14751452
deet	DEET	D003671	134-62-3	ADAM1A	8759	Homo sapiens	9606	28991164
deet	DEET	D003671	134-62-3	ADORA2A-AS1	646023	Homo sapiens	9606	28991164
deet	DEET	D003671	134-62-3	ADRA1A	148	Homo sapiens	9606	27091632
deet	DEET	D003671	134-62-3	ADRA1A	148	Homo sapiens	9606	27091632
deet	DEET	D003671	134-62-3	ADRA1B	147	Homo sapiens	9606	27091632
deet	DEET	D003671	134-62-3	ADRA2C	152	Homo sapiens	9606	27091632
deet	DEET	D003671	134-62-3	ADRB1	153	Homo sapiens	9606	27091632
deet	DEET	D003671	134-62-3	ADRB1	153	Homo sapiens	9606	27091632
deet	DEET	D003671	134-62-3	ADRB2	154	Homo sapiens	9606	27091632
deet	DEET	D003671	134-62-3	AFDN-DT	653483	Homo sapiens	9606	28991164
deet	DEET	D003671	134-62-3	AFF1-AS1	100506746	Homo sapiens	9606	28991164
deet	DEET	D003671	134-62-3	AFG3L1P	172	Homo sapiens	9606	28991164
deet	DEET	D003671	134-62-3	AKR1C8P	340811	Homo sapiens	9606	28991164
deet	DEET	D003671	134-62-3	AKR7L	246181	Homo sapiens	9606	28991164
deet	DEET	D003671	134-62-3	ALDH3A1	218	Homo sapiens	9606	27091632
deet	DEET	D003671	134-62-3	ALG1L9P	285407	Homo sapiens	9606	28991164
deet	DEET	D003671	134-62-3	ALPI	248	Homo sapiens	9606	27091632
deet	DEET	D003671	134-62-3	ALPI	248	Homo sapiens	9606	27091632
deet	DEET	D003671	134-62-3	ALS2	57679	Rattus norvegicus	10116	28659758
deet	DEET	D003671	134-62-3	ANKRD20A12P	100874392	Homo sapiens	9606	28991164
deet	DEET	D003671	134-62-3	ANKRD20A9P	284232	Homo sapiens	9606	28991164
deet	DEET	D003671	134-62-3	ANKRD36BP1	84832	Homo sapiens	9606	28991164
deet	DEET	D003671	134-62-3	ANXA5	308	Homo sapiens	9606	30880218
deet	DEET	D003671	134-62-3	ANXA5	308	Homo sapiens	9606	30880218
deet	DEET	D003671	134-62-3	APC	324	Rattus norvegicus	10116	28659758
deet	DEET	D003671	134-62-3	APOC1P1	342	Homo sapiens	9606	28991164
deet	DEET	D003671	134-62-3	APOE	348	Rattus norvegicus	10116	28659758
deet	DEET	D003671	134-62-3	AQP7P1	375719	Homo sapiens	9606	28991164
deet	DEET	D003671	134-62-3	AQP7P1	375719	Homo sapiens	9606	28991164
deet	DEET	D003671	134-62-3	AR	367	Homo sapiens	9606	27091632
deet	DEET	D003671	134-62-3	ARHGAP27P1-BPTFP1-KPNA2P3	109286553	Homo sapiens	9606	28991164
deet	DEET	D003671	134-62-3	ASB16-AS1	339201	Homo sapiens	9606	28991164
deet	DEET	D003671	134-62-3	ATP5F1A	498	Rattus norvegicus	10116	28659758
deet	DEET	D003671	134-62-3	ATP5F1B	506	Rattus norvegicus	10116	28659758
deet	DEET	D003671	134-62-3	ATP6AP1	537	Rattus norvegicus	10116	28659758
deet	DEET	D003671	134-62-3	ATP6V0A2	23545	Rattus norvegicus	10116	28659758
deet	DEET	D003671	134-62-3	AZGP1P1	646282	Homo sapiens	9606	28991164
deet	DEET	D003671	134-62-3	BAIAP2-DT	440465	Homo sapiens	9606	28991164
deet	DEET	D003671	134-62-3	BAX	581	Rattus norvegicus	10116	12587291
deet	DEET	D003671	134-62-3	BCHE	590	Homo sapiens	9606	21354413
deet	DEET	D003671	134-62-3	BCHE	590	Rattus norvegicus	10116	14751452
deet	DEET	D003671	134-62-3	BCL6	604	Rattus norvegicus	10116	28659758
deet	DEET	D003671	134-62-3	BEND3P3	650623	Homo sapiens	9606	28991164
deet	DEET	D003671	134-62-3	BMS1P20	96610	Homo sapiens	9606	28991164
deet	DEET	D003671	134-62-3	BMS1P4	729096	Homo sapiens	9606	28991164
deet	DEET	D003671	134-62-3	BRINP2	57795	Homo sapiens	9606	27091632
deet	DEET	D003671	134-62-3	BTN2A3P	54718	Homo sapiens	9606	28991164
deet	DEET	D003671	134-62-3	BTNL9	153579	Homo sapiens	9606	27091632
deet	DEET	D003671	134-62-3	C10ORF143	387723	Homo sapiens	9606	28991164
deet	DEET	D003671	134-62-3	C1ORF226	400793	Homo sapiens	9606	27091632
deet	DEET	D003671	134-62-3	C21ORF62	56245	Homo sapiens	9606	27091632
deet	DEET	D003671	134-62-3	C2CD4D-AS1	100132111	Homo sapiens	9606	28991164
deet	DEET	D003671	134-62-3	C2ORF92	728537	Homo sapiens	9606	28991164
deet	DEET	D003671	134-62-3	C3P1	388503	Homo sapiens	9606	28991164
deet	DEET	D003671	134-62-3	CA12	771	Homo sapiens	9606	27091632
deet	DEET	D003671	134-62-3	CABP4	57010	Homo sapiens	9606	27091632
deet	DEET	D003671	134-62-3	CALCB	797	Homo sapiens	9606	27091632
deet	DEET	D003671	134-62-3	CALHM4	221301	Homo sapiens	9606	27091632
deet	DEET	D003671	134-62-3	CAT	847	Rattus norvegicus	10116	28659758
deet	DEET	D003671	134-62-3	CCDC144B	284047	Homo sapiens	9606	28991164
deet	DEET	D003671	134-62-3	CCDC18-AS1	100131564	Homo sapiens	9606	28991164
deet	DEET	D003671	134-62-3	CCDC200	100874261	Homo sapiens	9606	28991164
deet	DEET	D003671	134-62-3	CCL3	6348	Rattus norvegicus	10116	28659758
deet	DEET	D003671	134-62-3	CCS	9973	Rattus norvegicus	10116	28659758
deet	DEET	D003671	134-62-3	CCZ1P-OR7E38P	389538	Homo sapiens	9606	28991164
deet	DEET	D003671	134-62-3	CDKN2B-AS1	100048912	Homo sapiens	9606	28991164
deet	DEET	D003671	134-62-3	CEACAM22P	388550	Homo sapiens	9606	28991164
deet	DEET	D003671	134-62-3	CES1P1	51716	Homo sapiens	9606	28991164
deet	DEET	D003671	134-62-3	CHAT	1103	Rattus norvegicus	10116	11248143
deet	DEET	D003671	134-62-3	CHRM2	1129	Rattus norvegicus	10116	14713564
deet	DEET	D003671	134-62-3	CHRM2	1129	Rattus norvegicus	10116	11248143
deet	DEET	D003671	134-62-3	CHRM2	1129	Rattus norvegicus	10116	14751452
deet	DEET	D003671	134-62-3	CIDECP1	152302	Homo sapiens	9606	28991164
deet	DEET	D003671	134-62-3	CLUHP3	100132341	Homo sapiens	9606	28991164
deet	DEET	D003671	134-62-3	CMAHP	8418	Homo sapiens	9606	28991164
deet	DEET	D003671	134-62-3	CORT	1325	Mus musculus	10090	30339781
deet	DEET	D003671	134-62-3	CORT	1325	Mus musculus	10090	30339781
deet	DEET	D003671	134-62-3	CORT	1325	Mus musculus	10090	30339781
deet	DEET	D003671	134-62-3	CORT	1325	Mus musculus	10090	30339781
deet	DEET	D003671	134-62-3	CORT	1325	Mus musculus	10090	30339781
deet	DEET	D003671	134-62-3	CORT	1325	Mus musculus	10090	30339781
deet	DEET	D003671	134-62-3	CORT	1325	Mus musculus	10090	30339781
deet	DEET	D003671	134-62-3	COX5B	1329	Rattus norvegicus	10116	28659758
deet	DEET	D003671	134-62-3	COX6A1	1337	Rattus norvegicus	10116	28659758
deet	DEET	D003671	134-62-3	COX7A2L	9167	Rattus norvegicus	10116	28659758
deet	DEET	D003671	134-62-3	CROCCP2	84809	Homo sapiens	9606	28991164
deet	DEET	D003671	134-62-3	CROCCP3	114819	Homo sapiens	9606	28991164
deet	DEET	D003671	134-62-3	CRYZL2P	730102	Homo sapiens	9606	28991164
deet	DEET	D003671	134-62-3	CSF2	1437	Rattus norvegicus	10116	28659758
deet	DEET	D003671	134-62-3	CTSB	1508	Rattus norvegicus	10116	28659758
deet	DEET	D003671	134-62-3	CTSLP2	1517	Homo sapiens	9606	28991164
deet	DEET	D003671	134-62-3	CUTALP	253039	Homo sapiens	9606	28991164
deet	DEET	D003671	134-62-3	CXCL1	2919	Mus musculus	10090	30339781
deet	DEET	D003671	134-62-3	CXCL10	3627	Rattus norvegicus	10116	28659758
deet	DEET	D003671	134-62-3	CXCL13	10563	Homo sapiens	9606	27091632
deet	DEET	D003671	134-62-3	CYB5A	1528	Homo sapiens	9606	27091632
deet	DEET	D003671	134-62-3	CYB5A	1528	Homo sapiens	9606	27091632
deet	DEET	D003671	134-62-3	CYC1	1537	Rattus norvegicus	10116	28659758
deet	DEET	D003671	134-62-3	CYGB	114757	Rattus norvegicus	10116	28659758
deet	DEET	D003671	134-62-3	CYP1A1	1543	Homo sapiens	9606	27091632
deet	DEET	D003671	134-62-3	CYP1A1	1543	Homo sapiens	9606	27091632
deet	DEET	D003671	134-62-3	CYP1A2	1544	Homo sapiens	9606	11854147
deet	DEET	D003671	134-62-3	CYP1A2	1544	Homo sapiens	9606	19326769|27091632
deet	DEET	D003671	134-62-3	CYP1A2	1544	Homo sapiens	9606	27091632
deet	DEET	D003671	134-62-3	CYP20A1	57404	Homo sapiens	9606	27091632
deet	DEET	D003671	134-62-3	CYP21A2	1589	Homo sapiens	9606	27091632
deet	DEET	D003671	134-62-3	CYP26A1	1592	Homo sapiens	9606	27091632
deet	DEET	D003671	134-62-3	CYP26B1	56603	Homo sapiens	9606	27091632
deet	DEET	D003671	134-62-3	CYP27C1	339761	Homo sapiens	9606	27091632
deet	DEET	D003671	134-62-3	CYP2A13	1553	Homo sapiens	9606	27091632
deet	DEET	D003671	134-62-3	CYP2A6	1548	Homo sapiens	9606	11854147
deet	DEET	D003671	134-62-3	CYP2A6	1548	Homo sapiens	9606	19326769|27091632
deet	DEET	D003671	134-62-3	CYP2A6	1548	Homo sapiens	9606	27091632
deet	DEET	D003671	134-62-3	CYP2A7	1549	Homo sapiens	9606	27091632
deet	DEET	D003671	134-62-3	CYP2A7	1549	Homo sapiens	9606	27091632
deet	DEET	D003671	134-62-3	CYP2B6	1555	Homo sapiens	9606	11854147
deet	DEET	D003671	134-62-3	CYP2B6	1555	Homo sapiens	9606	11854147
deet	DEET	D003671	134-62-3	CYP2B6	1555	Homo sapiens	9606	19326769|27091632
deet	DEET	D003671	134-62-3	CYP2B6	1555	Homo sapiens	9606	27091632
deet	DEET	D003671	134-62-3	CYP2B7P	1556	Homo sapiens	9606	27091632|28991164
deet	DEET	D003671	134-62-3	CYP2B7P	1556	Homo sapiens	9606	27091632|28991164
deet	DEET	D003671	134-62-3	CYP2C19	1557	Homo sapiens	9606	11854147
deet	DEET	D003671	134-62-3	CYP2C19	1557	Homo sapiens	9606	27091632
deet	DEET	D003671	134-62-3	CYP2C8	1558	Homo sapiens	9606	27091632
deet	DEET	D003671	134-62-3	CYP2C8	1558	Homo sapiens	9606	27091632
deet	DEET	D003671	134-62-3	CYP2C9	1559	Homo sapiens	9606	27091632
deet	DEET	D003671	134-62-3	CYP2C9	1559	Homo sapiens	9606	27091632
deet	DEET	D003671	134-62-3	CYP2D6	1565	Homo sapiens	9606	11854147
deet	DEET	D003671	134-62-3	CYP2E1	1571	Homo sapiens	9606	11854147
deet	DEET	D003671	134-62-3	CYP2E1	1571	Homo sapiens	9606	27091632
deet	DEET	D003671	134-62-3	CYP3A4	1576	Homo sapiens	9606	11854147
deet	DEET	D003671	134-62-3	CYP3A4	1576	Homo sapiens	9606	19326769|27091632
deet	DEET	D003671	134-62-3	CYP3A4	1576	Homo sapiens	9606	27091632
deet	DEET	D003671	134-62-3	CYP3A43	64816	Homo sapiens	9606	27091632
deet	DEET	D003671	134-62-3	CYP3A43	64816	Homo sapiens	9606	27091632
deet	DEET	D003671	134-62-3	CYP3A5	1577	Homo sapiens	9606	11854147
deet	DEET	D003671	134-62-3	CYP3A5	1577	Homo sapiens	9606	27091632
deet	DEET	D003671	134-62-3	CYP3A5	1577	Homo sapiens	9606	27091632
deet	DEET	D003671	134-62-3	CYP3A7	1551	Homo sapiens	9606	27091632
deet	DEET	D003671	134-62-3	CYP3A7	1551	Homo sapiens	9606	27091632
deet	DEET	D003671	134-62-3	CYP46A1	10858	Homo sapiens	9606	27091632
deet	DEET	D003671	134-62-3	CYP4A11	1579	Homo sapiens	9606	27091632
deet	DEET	D003671	134-62-3	CYP4A11	1579	Homo sapiens	9606	27091632
deet	DEET	D003671	134-62-3	CYP4A22	284541	Homo sapiens	9606	27091632
deet	DEET	D003671	134-62-3	CYP4A22	284541	Homo sapiens	9606	27091632
deet	DEET	D003671	134-62-3	CYP4F12	66002	Homo sapiens	9606	27091632
deet	DEET	D003671	134-62-3	CYP4F2	8529	Homo sapiens	9606	27091632
deet	DEET	D003671	134-62-3	CYP4F22	126410	Homo sapiens	9606	27091632
deet	DEET	D003671	134-62-3	CYP4V2	285440	Homo sapiens	9606	27091632
deet	DEET	D003671	134-62-3	CYP8B1	1582	Homo sapiens	9606	27091632
deet	DEET	D003671	134-62-3	CYTOR	112597	Homo sapiens	9606	28991164
