X..Input	ChemicalName	ChemicalId	CasRN	GeneSymbol	GeneId	Organism	OrganismId	PubMedIds
diethyl phthalate	diethyl phthalate	C007379	84-66-2	A4GALT	53947	Rattus norvegicus	10116	31199487
diethyl phthalate	diethyl phthalate	C007379	84-66-2	ABCG2	9429	Rattus norvegicus	10116	31199487
diethyl phthalate	diethyl phthalate	C007379	84-66-2	AFP	174	Rattus norvegicus	10116	23013281|25349334
diethyl phthalate	diethyl phthalate	C007379	84-66-2	AHR	196	Homo sapiens	9606	23220035
diethyl phthalate	diethyl phthalate	C007379	84-66-2	AK5	26289	Rattus norvegicus	10116	31199487
diethyl phthalate	diethyl phthalate	C007379	84-66-2	ALDH1A1	216	Mus musculus	10090	30768133
diethyl phthalate	diethyl phthalate	C007379	84-66-2	ALDOC	230	Rattus norvegicus	10116	31199487
diethyl phthalate	diethyl phthalate	C007379	84-66-2	APOA1	335	Homo sapiens	9606	26423653
diethyl phthalate	diethyl phthalate	C007379	84-66-2	APOB	338	Homo sapiens	9606	26423653
diethyl phthalate	diethyl phthalate	C007379	84-66-2	AR	367	Homo sapiens	9606	20943248
diethyl phthalate	diethyl phthalate	C007379	84-66-2	AR	367	Homo sapiens	9606	28571686
diethyl phthalate	diethyl phthalate	C007379	84-66-2	AR	367	Rattus norvegicus	10116	14565775
diethyl phthalate	diethyl phthalate	C007379	84-66-2	AR	367			25349334
diethyl phthalate	diethyl phthalate	C007379	84-66-2	ARNT2	9915	Rattus norvegicus	10116	31199487
diethyl phthalate	diethyl phthalate	C007379	84-66-2	ASTN1	460	Rattus norvegicus	10116	31199487
diethyl phthalate	diethyl phthalate	C007379	84-66-2	ASTN2	23245	Rattus norvegicus	10116	31199487
diethyl phthalate	diethyl phthalate	C007379	84-66-2	ATP1A3	478	Rattus norvegicus	10116	31199487
diethyl phthalate	diethyl phthalate	C007379	84-66-2	BAX	581	Mus musculus	10090	28013214
diethyl phthalate	diethyl phthalate	C007379	84-66-2	BCAT1	586	Rattus norvegicus	10116	31199487
diethyl phthalate	diethyl phthalate	C007379	84-66-2	BCL2	596	Mus musculus	10090	28013214
diethyl phthalate	diethyl phthalate	C007379	84-66-2	BEND6	221336	Rattus norvegicus	10116	31199487
diethyl phthalate	diethyl phthalate	C007379	84-66-2	BPGM	669	Rattus norvegicus	10116	31199487
diethyl phthalate	diethyl phthalate	C007379	84-66-2	CACNG7	59284	Rattus norvegicus	10116	31199487
diethyl phthalate	diethyl phthalate	C007379	84-66-2	CADM3	57863	Rattus norvegicus	10116	31199487
diethyl phthalate	diethyl phthalate	C007379	84-66-2	CADPS	8618	Rattus norvegicus	10116	31199487
diethyl phthalate	diethyl phthalate	C007379	84-66-2	CAMK4	814	Rattus norvegicus	10116	31199487
diethyl phthalate	diethyl phthalate	C007379	84-66-2	CASP3	836	Homo sapiens	9606	23220035
diethyl phthalate	diethyl phthalate	C007379	84-66-2	CASP8	841	Mus musculus	10090	28013214
diethyl phthalate	diethyl phthalate	C007379	84-66-2	CAT	847	Mus musculus	10090	28013214
diethyl phthalate	diethyl phthalate	C007379	84-66-2	CCND2	894	Mus musculus	10090	28013214
diethyl phthalate	diethyl phthalate	C007379	84-66-2	CD86	942	Homo sapiens	9606	30842373
diethyl phthalate	diethyl phthalate	C007379	84-66-2	CDKN2A	1029	Mus musculus	10090	28013214
diethyl phthalate	diethyl phthalate	C007379	84-66-2	CELSR3	1951	Rattus norvegicus	10116	31199487
diethyl phthalate	diethyl phthalate	C007379	84-66-2	CHGA	1113	Rattus norvegicus	10116	31199487
diethyl phthalate	diethyl phthalate	C007379	84-66-2	CHGB	1114	Rattus norvegicus	10116	31199487
diethyl phthalate	diethyl phthalate	C007379	84-66-2	CITED1	4435	Rattus norvegicus	10116	31199487
diethyl phthalate	diethyl phthalate	C007379	84-66-2	CLSTN3	9746	Rattus norvegicus	10116	31199487
diethyl phthalate	diethyl phthalate	C007379	84-66-2	CNTNAP1	8506	Rattus norvegicus	10116	31199487
diethyl phthalate	diethyl phthalate	C007379	84-66-2	CRMP1	1400	Rattus norvegicus	10116	31199487
diethyl phthalate	diethyl phthalate	C007379	84-66-2	CTBS	1486	Leptuca pugilator	6772	10190035
diethyl phthalate	diethyl phthalate	C007379	84-66-2	CXCL8	3576	Homo sapiens	9606	21920952|23724284
diethyl phthalate	diethyl phthalate	C007379	84-66-2	CYP11A1	1583	Mus musculus	10090	28013214
diethyl phthalate	diethyl phthalate	C007379	84-66-2	CYP11A1	1583	Rattus norvegicus	10116	26472102|29325824
diethyl phthalate	diethyl phthalate	C007379	84-66-2	CYP11A1	1583	Rattus norvegicus	10116	29325824
diethyl phthalate	diethyl phthalate	C007379	84-66-2	CYP17A1	1586	Rattus norvegicus	10116	17884934
diethyl phthalate	diethyl phthalate	C007379	84-66-2	CYP17A1	1586	Rattus norvegicus	10116	29325824
diethyl phthalate	diethyl phthalate	C007379	84-66-2	CYP19A1	1588	Homo sapiens	9606	24994688
diethyl phthalate	diethyl phthalate	C007379	84-66-2	CYP19A1	1588	Homo sapiens	9606	24994688
diethyl phthalate	diethyl phthalate	C007379	84-66-2	CYP19A1	1588	Homo sapiens	9606	24994688
diethyl phthalate	diethyl phthalate	C007379	84-66-2	CYP19A1	1588	Mus musculus	10090	28013214
diethyl phthalate	diethyl phthalate	C007379	84-66-2	CYP19A1	1588	Rattus norvegicus	10116	24994688
diethyl phthalate	diethyl phthalate	C007379	84-66-2	CYP19A1	1588	Rattus norvegicus	10116	24994688
