X..Input	ChemicalName	ChemicalId	CasRN	GeneSymbol	GeneId	Organism	OrganismId	PubMedIds
335-76-2	perfluorodecanoic acid	C036567	335-76-2	A2M	2	Mus musculus	10090	23567314
335-76-2	perfluorodecanoic acid	C036567	335-76-2	A2M	2	Oncorhynchus mykiss	8022	21984479
335-76-2	perfluorodecanoic acid	C036567	335-76-2	ABCC2	1244	Mus musculus	10090	27344344
335-76-2	perfluorodecanoic acid	C036567	335-76-2	ABCC2	1244	Mus musculus	10090	27344344
335-76-2	perfluorodecanoic acid	C036567	335-76-2	ABCC3	8714	Mus musculus	10090	18757529
335-76-2	perfluorodecanoic acid	C036567	335-76-2	ABCC3	8714	Mus musculus	10090	18757529
335-76-2	perfluorodecanoic acid	C036567	335-76-2	ABCC3	8714	Mus musculus	10090	18757529
335-76-2	perfluorodecanoic acid	C036567	335-76-2	ABCC4	10257	Mus musculus	10090	18757529
335-76-2	perfluorodecanoic acid	C036567	335-76-2	ABCC4	10257	Mus musculus	10090	18757529
335-76-2	perfluorodecanoic acid	C036567	335-76-2	ABCC4	10257	Mus musculus	10090	18757529|27344344
335-76-2	perfluorodecanoic acid	C036567	335-76-2	ABCC4	10257	Mus musculus	10090	18757529
335-76-2	perfluorodecanoic acid	C036567	335-76-2	ACOT1	641371	Mus musculus	10090	27344344
335-76-2	perfluorodecanoic acid	C036567	335-76-2	ACOT1	641371	Mus musculus	10090	27344344
335-76-2	perfluorodecanoic acid	C036567	335-76-2	ACOX1	51	Rattus norvegicus	10116	8001245
335-76-2	perfluorodecanoic acid	C036567	335-76-2	ACSL1	2180	Homo sapiens	9606	23567314
335-76-2	perfluorodecanoic acid	C036567	335-76-2	AIF1	199	Oncorhynchus mykiss	8022	21984479
335-76-2	perfluorodecanoic acid	C036567	335-76-2	AKR1D1	6718	Oncorhynchus mykiss	8022	21984479
335-76-2	perfluorodecanoic acid	C036567	335-76-2	AKT1	207	Homo sapiens	9606	19135466
335-76-2	perfluorodecanoic acid	C036567	335-76-2	ALB	213	Rattus norvegicus	10116	1606626
335-76-2	perfluorodecanoic acid	C036567	335-76-2	ALB1	100136575	Oncorhynchus mykiss	8022	21984479
335-76-2	perfluorodecanoic acid	C036567	335-76-2	ANGPTL4	51129	Homo sapiens	9606	23567314
335-76-2	perfluorodecanoic acid	C036567	335-76-2	APOA2	336	Homo sapiens	9606	23567314
335-76-2	perfluorodecanoic acid	C036567	335-76-2	APOE	348	Oncorhynchus mykiss	8022	21984479
335-76-2	perfluorodecanoic acid	C036567	335-76-2	ATF2	1386	Mus musculus	10090	27344344
335-76-2	perfluorodecanoic acid	C036567	335-76-2	ATF2	1386	Mus musculus	10090	27344344
335-76-2	perfluorodecanoic acid	C036567	335-76-2	ATF3	467	Homo sapiens	9606	23567314
335-76-2	perfluorodecanoic acid	C036567	335-76-2	BTD	686	Oncorhynchus mykiss	8022	21984479
335-76-2	perfluorodecanoic acid	C036567	335-76-2	CATS	100196462	Oncorhynchus mykiss	8022	21984479
335-76-2	perfluorodecanoic acid	C036567	335-76-2	CD59	966	Oncorhynchus mykiss	8022	21984479
335-76-2	perfluorodecanoic acid	C036567	335-76-2	CD80	941	Oncorhynchus mykiss	8022	21984479
335-76-2	perfluorodecanoic acid	C036567	335-76-2	CFB	629	Oncorhynchus mykiss	8022	21984479
335-76-2	perfluorodecanoic acid	C036567	335-76-2	CHUK	1147	Oncorhynchus mykiss	8022	21984479
335-76-2	perfluorodecanoic acid	C036567	335-76-2	CPT1A	1374	Homo sapiens	9606	23567314
335-76-2	perfluorodecanoic acid	C036567	335-76-2	CPT1B	1375	Mus musculus	10090	23567314
335-76-2	perfluorodecanoic acid	C036567	335-76-2	CTSD	1509	Oncorhynchus mykiss	8022	21984479
335-76-2	perfluorodecanoic acid	C036567	335-76-2	CYP1A1	1543	Homo sapiens	9606	23567314
335-76-2	perfluorodecanoic acid	C036567	335-76-2	CYP27A1	1593	Mus musculus	10090	27344344
335-76-2	perfluorodecanoic acid	C036567	335-76-2	CYP27A1	1593	Mus musculus	10090	27344344
335-76-2	perfluorodecanoic acid	C036567	335-76-2	CYP2B10	13088	Mus musculus	10090	18648086
335-76-2	perfluorodecanoic acid	C036567	335-76-2	CYP2B10	13088	Mus musculus	10090	18648086|27344344
335-76-2	perfluorodecanoic acid	C036567	335-76-2	CYP2B6	1555	Homo sapiens	9606	23567314
335-76-2	perfluorodecanoic acid	C036567	335-76-2	CYP2P7	100034406	Oncorhynchus mykiss	8022	21984479
335-76-2	perfluorodecanoic acid	C036567	335-76-2	CYP3A11	13112	Mus musculus	10090	18648086|27344344
335-76-2	perfluorodecanoic acid	C036567	335-76-2	CYP3A23/3A1	25642	Rattus norvegicus	10116	15826607
