X..Input	ChemicalName	ChemicalId	CasRN	GeneSymbol	GeneId	Organism	OrganismId	PubMedIds
375-95-1	perfluoro-n-nonanoic acid	C101816	375-95-1	A2M	2	Oncorhynchus mykiss	8022	21984479
375-95-1	perfluoro-n-nonanoic acid	C101816	375-95-1	ABCB1B	18669	Mus musculus	10090	23567314
375-95-1	perfluoro-n-nonanoic acid	C101816	375-95-1	ABCB4	5244	Homo sapiens	9606	23567314
375-95-1	perfluoro-n-nonanoic acid	C101816	375-95-1	ABCC4	10257	Mus musculus	10090	23567314
375-95-1	perfluoro-n-nonanoic acid	C101816	375-95-1	ACOT1	641371	Rattus norvegicus	10116	22648072
375-95-1	perfluoro-n-nonanoic acid	C101816	375-95-1	ACOT1	641371	Rattus norvegicus	10116	22648072
375-95-1	perfluoro-n-nonanoic acid	C101816	375-95-1	ACOT1	641371	Rattus norvegicus	10116	22648072
375-95-1	perfluoro-n-nonanoic acid	C101816	375-95-1	ACOT1	641371	Rattus norvegicus	10116	22648072
375-95-1	perfluoro-n-nonanoic acid	C101816	375-95-1	ACOT1	641371	Rattus norvegicus	10116	22648072
375-95-1	perfluoro-n-nonanoic acid	C101816	375-95-1	ACOT1	641371	Rattus norvegicus	10116	22648072
375-95-1	perfluoro-n-nonanoic acid	C101816	375-95-1	ACOT2	10965	Rattus norvegicus	10116	22648072
375-95-1	perfluoro-n-nonanoic acid	C101816	375-95-1	ACOT2	10965	Rattus norvegicus	10116	22648072
375-95-1	perfluoro-n-nonanoic acid	C101816	375-95-1	ACOT2	10965	Rattus norvegicus	10116	22648072
375-95-1	perfluoro-n-nonanoic acid	C101816	375-95-1	ACOT2	10965	Rattus norvegicus	10116	22648072
375-95-1	perfluoro-n-nonanoic acid	C101816	375-95-1	ACOT2	10965	Rattus norvegicus	10116	22648072
375-95-1	perfluoro-n-nonanoic acid	C101816	375-95-1	ACOX1	51	Homo sapiens	9606	23567314
375-95-1	perfluoro-n-nonanoic acid	C101816	375-95-1	ACSL1	2180	Homo sapiens	9606	23567314
375-95-1	perfluoro-n-nonanoic acid	C101816	375-95-1	ACTB	60	Homo sapiens	9606	23567314
375-95-1	perfluoro-n-nonanoic acid	C101816	375-95-1	AIF1	199	Oncorhynchus mykiss	8022	21984479
375-95-1	perfluoro-n-nonanoic acid	C101816	375-95-1	AKR1D1	6718	Oncorhynchus mykiss	8022	21984479
375-95-1	perfluoro-n-nonanoic acid	C101816	375-95-1	AKT1	207	Rattus norvegicus	10116	22387981
375-95-1	perfluoro-n-nonanoic acid	C101816	375-95-1	ALAS1	211	Homo sapiens	9606	23567314
375-95-1	perfluoro-n-nonanoic acid	C101816	375-95-1	ALB1	100136575	Oncorhynchus mykiss	8022	21984479
375-95-1	perfluoro-n-nonanoic acid	C101816	375-95-1	AMH	268	Rattus norvegicus	10116	20580666
375-95-1	perfluoro-n-nonanoic acid	C101816	375-95-1	AMH	268	Rattus norvegicus	10116	20580666
375-95-1	perfluoro-n-nonanoic acid	C101816	375-95-1	ANGPTL4	51129	Homo sapiens	9606	23567314
375-95-1	perfluoro-n-nonanoic acid	C101816	375-95-1	APOA2	336	Homo sapiens	9606	23567314
375-95-1	perfluoro-n-nonanoic acid	C101816	375-95-1	APOA5	116519	Homo sapiens	9606	23567314
375-95-1	perfluoro-n-nonanoic acid	C101816	375-95-1	APOH	350	Oncorhynchus mykiss	8022	21984479
