X..Input	ChemicalName	ChemicalId	CasRN	GeneSymbol	GeneId	Organism	OrganismId	PubMedIds
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	A2M	2	Mus musculus	10090	19429403
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	AASS	10157	Homo sapiens	9606	27153767
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ABAT	18	Mus musculus	10090	26178269
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ABCA1	19	Homo sapiens	9606	27153767
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ABCA1	19	Homo sapiens	9606	21723365
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ABCA3	21	Mus musculus	10090	19429403
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ABCA6	23460	Homo sapiens	9606	27153767
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ABCA8	10351	Homo sapiens	9606	27153767
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ABCB1	5243	Homo sapiens	9606	24014645
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ABCB10	23456	Homo sapiens	9606	27153767
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ABCB11	8647	Homo sapiens	9606	27153767
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ABCB11	8647	Homo sapiens	9606	21723365
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ABCB11	8647	Mus musculus	10090	21705711
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ABCB11	8647	Rattus norvegicus	10116	18692542
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ABCB4	5244	Homo sapiens	9606	23567314
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ABCB4	5244	Rattus norvegicus	10116	19162173
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ABCC1	4363	Homo sapiens	9606	24014645
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ABCC2	1244	Rattus norvegicus	10116	18692542|21046362|21318169
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ABCC3	8714	Rattus norvegicus	10116	19162173
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ABCC4	10257	Homo sapiens	9606	24014645
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ABCC6	368	Rattus norvegicus	10116	19162173
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ABCC6	368	Rattus norvegicus	10116	16221955
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ABCD3	5825	Rattus norvegicus	10116	18692542
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ABCG1	9619	Rattus norvegicus	10116	18692542
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ABCG2	9429	Gallus gallus	9031	19162173
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ABCG2	9429	Homo sapiens	9606	24014645
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ABCG5	64240	Homo sapiens	9606	27153767
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ABCG5	64240	Mus musculus	10090	21705711
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ABCG5	64240	Rattus norvegicus	10116	21723365
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ABCG8	64241	Mus musculus	10090	21705711
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ABHD13	84945	Homo sapiens	9606	27153767
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ACAA1	30	Gallus gallus	9031	18565798
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ACAA1	30	Rattus norvegicus	10116	16221955|18692542|19162173
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ACAA1A	113868	Mus musculus	10090	19429403|20936131|21705711
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ACAA1A	113868	Rattus norvegicus	10116	15071170
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ACAA1A	113868	Rattus norvegicus	10116	15071170
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ACAA1B	235674	Mus musculus	10090	19429403|20936131|21705711|28558994
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ACAA1B	235674	Mus musculus	10090	28558994
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ACAA2	10449	Mus musculus	10090	19429403
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ACAA2	10449	Rattus norvegicus	10116	18692542|19162173
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ACACA	31	Mus musculus	10090	26178269
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ACACA	31	Mus musculus	10090	28288859
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ACAD10	80724	Mus musculus	10090	20936131
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ACAD11	84129	Mus musculus	10090	19429403
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ACADL	33	Mus musculus	10090	19429403|20936131|28558994
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ACADL	33	Rattus norvegicus	10116	18692542
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ACADM	34	Mus musculus	10090	19429403
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ACADM	34	Mus musculus	10090	20936131
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ACADM	34	Mus musculus	10090	26178269
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ACADM	34	Rattus norvegicus	10116	18692542
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ACADS	35	Homo sapiens	9606	27153767
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ACADS	35	Mus musculus	10090	19429403
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ACADSB	36	Mus musculus	10090	20936131
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ACADSB	36	Mus musculus	10090	20936131
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ACADVL	37	Mus musculus	10090	19429403|20936131
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ACADVL	37	Rattus norvegicus	10116	18692542
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ACAT1	38	Mus musculus	10090	26178269
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ACAT1	38	Mus musculus	10090	20936131|21705711
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ACAT1	38	Mus musculus	10090	20936131
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ACAT1	38	Rattus norvegicus	10116	18692542|19162173
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ACAT2	39	Mus musculus	10090	20936131
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ACE2	59272	Danio rerio	7955	24667235
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ACHE	43	Mus musculus	10090	26254212
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ACHE	43	Rattus norvegicus	10116	18692542
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ACLY	47	Mus musculus	10090	21705711
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ACOT1	641371	Mus musculus	10090	19429403
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ACOT1	641371	Mus musculus	10090	20936131|28558994
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ACOT1	641371	Mus musculus	10090	20936131
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ACOT1	641371	Rattus norvegicus	10116	16221955|18692542|19162173|19407336|22237054
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ACOT2	10965	Mus musculus	10090	19429403
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ACOT2	10965	Mus musculus	10090	20936131|28558994
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ACOT2	10965	Mus musculus	10090	20936131
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ACOT2	10965	Rattus norvegicus	10116	16221955|18692542|19162173
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ACOT3	171281	Mus musculus	10090	19429403
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ACOT3	171281	Mus musculus	10090	20936131
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ACOT3	171281	Mus musculus	10090	20936131
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ACOT7	11332	Homo sapiens	9606	27153767
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ACOX1	51	Gallus gallus	9031	18565798
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ACOX1	51	Mus musculus	10090	25949234
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ACOX1	51	Mus musculus	10090	19429403|20936131|21705711|28558994
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ACOX1	51	Rattus norvegicus	10116	15071170
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ACOX1	51	Rattus norvegicus	10116	18692542|18923995|19162173|19407336|19429409|21723365
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ACOX1	51	Salmo salar	8030	18424238
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ACOX2	8309	Mus musculus	10090	21705711
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ACP3	55	Rattus norvegicus	10116	19162173
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ACSF3	197322	Homo sapiens	9606	27153767
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ACSL1	2180	Gallus gallus	9031	17560707
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ACSL1	2180	Mus musculus	10090	19429403
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ACSL1	2180	Mus musculus	10090	20936131|21705711
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ACSL1	2180	Rattus norvegicus	10116	18692542
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ACSL3	2181	Mus musculus	10090	19429403
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ACSL3	2181	Mus musculus	10090	20936131|21705711
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ACSL4	2182	Mus musculus	10090	19429403
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ACSL4	2182	Mus musculus	10090	20936131|21705711
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ACSL4	2182	Rattus norvegicus	10116	19162173
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ACSL5	51703	Mus musculus	10090	19429403
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ACSL5	51703	Mus musculus	10090	20936131
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ACSL5	51703	Rattus norvegicus	10116	18692542
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ACSM2A	123876	Rattus norvegicus	10116	19162173
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ACSM3	6296	Mus musculus	10090	21705711
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ACTA1	58	Mus musculus	10090	26178269
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ACTB	60	Gallus gallus	9031	19167519
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ACTB	60	Gallus gallus	9031	19167519
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ACTN3	89	Rattus norvegicus	10116	22237054
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ACTR6	64431	Homo sapiens	9606	27153767
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ADAM9	8754	Homo sapiens	9606	27153767
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ADAMTS12	81792	Mus musculus	10090	19429403
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ADARB1	104	Rattus norvegicus	10116	30508566
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ADARB1	104	Rattus norvegicus	10116	30508566
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ADCY3	109	Rattus norvegicus	10116	18692542
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ADGRG1	9289	Rattus norvegicus	10116	18692542
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ADGRG2	10149	Homo sapiens	9606	27153767
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ADH1	11522	Mus musculus	10090	19429403
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ADH1B	125	Homo sapiens	9606	27153767
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ADH4	127	Rattus norvegicus	10116	19162173
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ADH7	131	Mus musculus	10090	19429403
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ADH7	131	Rattus norvegicus	10116	19162173
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ADHFE1	137872	Mus musculus	10090	19429403
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ADIPOR2	79602	Gallus gallus	9031	19162173
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ADIPOR2	79602	Rattus norvegicus	10116	19162173
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ADORA1	134	Mus musculus	10090	19429403
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ADORA1	134	Rattus norvegicus	10116	20136073
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ADRA1A	148	Homo sapiens	9606	27153767
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ADRA1B	147	Rattus norvegicus	10116	19162173
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ADTRP	84830	Mus musculus	10090	28558994
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	ADTRP	84830	Mus musculus	10090	28558994
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	AGBL2	79841	Homo sapiens	9606	27153767
1763-23-1	perfluorooctane sulfonic acid	C076994	1763-23-1	AGL	178	Homo sapiens	9606	27153767
