X..Input	ChemicalName	ChemicalId	CasRN	GeneSymbol	GeneId	Organism	OrganismId	PubMedIds
7440-38-2	Arsenic	D001151	7440-38-2	AACSP1	729522	Homo sapiens	9606	24525453
7440-38-2	Arsenic	D001151	7440-38-2	AAGAB	79719	Homo sapiens	9606	25304211
7440-38-2	Arsenic	D001151	7440-38-2	AAMDC	28971	Homo sapiens	9606	25304211
7440-38-2	Arsenic	D001151	7440-38-2	AAR2	25980	Homo sapiens	9606	21291286
7440-38-2	Arsenic	D001151	7440-38-2	AASS	10157	Mus musculus	10090	19654921
7440-38-2	Arsenic	D001151	7440-38-2	ABCA1	19	Homo sapiens	9606	29951962
7440-38-2	Arsenic	D001151	7440-38-2	ABCA2	20	Homo sapiens	9606	25304211
7440-38-2	Arsenic	D001151	7440-38-2	ABCA3	21	Homo sapiens	9606	25304211
7440-38-2	Arsenic	D001151	7440-38-2	ABCA5	23461	Homo sapiens	9606	25304211
7440-38-2	Arsenic	D001151	7440-38-2	ABCB1	5243	Homo sapiens	9606	29951962
7440-38-2	Arsenic	D001151	7440-38-2	ABCB1	5243	Homo sapiens	9606	12387749
7440-38-2	Arsenic	D001151	7440-38-2	ABCB9	23457	Homo sapiens	9606	25304211
7440-38-2	Arsenic	D001151	7440-38-2	ABCC1	4363	Homo sapiens	9606	12387749
7440-38-2	Arsenic	D001151	7440-38-2	ABCC1	4363	Homo sapiens	9606	18487201
7440-38-2	Arsenic	D001151	7440-38-2	ABCC1	4363	Homo sapiens	9606	18487201
7440-38-2	Arsenic	D001151	7440-38-2	ABCC1	4363	Homo sapiens	9606	18487201
7440-38-2	Arsenic	D001151	7440-38-2	ABCC2	1244	Fundulus heteroclitus	8078	18020683
7440-38-2	Arsenic	D001151	7440-38-2	ABCC2	1244	Homo sapiens	9606	25752797
7440-38-2	Arsenic	D001151	7440-38-2	ABCC2	1244	Homo sapiens	9606	25752797
7440-38-2	Arsenic	D001151	7440-38-2	ABCC2	1244	Rattus norvegicus	10116	25752797
7440-38-2	Arsenic	D001151	7440-38-2	ABCC4	10257	Homo sapiens	9606	25752797
7440-38-2	Arsenic	D001151	7440-38-2	ABCC4	10257	Homo sapiens	9606	25304211
7440-38-2	Arsenic	D001151	7440-38-2	ABCC4	10257	Homo sapiens	9606	25752797
7440-38-2	Arsenic	D001151	7440-38-2	ABCC4	10257	Homo sapiens	9606	25752797
7440-38-2	Arsenic	D001151	7440-38-2	ABCF2	10061	Homo sapiens	9606	25304211
7440-38-2	Arsenic	D001151	7440-38-2	ABCG5	64240	Homo sapiens	9606	25304211
7440-38-2	Arsenic	D001151	7440-38-2	ABHD14A	25864	Homo sapiens	9606	25304211
7440-38-2	Arsenic	D001151	7440-38-2	ABHD17A	81926	Homo sapiens	9606	18414638
7440-38-2	Arsenic	D001151	7440-38-2	ABHD17A	81926	Homo sapiens	9606	25304211
7440-38-2	Arsenic	D001151	7440-38-2	ABI2	10152	Homo sapiens	9606	25304211
7440-38-2	Arsenic	D001151	7440-38-2	ABLIM2	84448	Homo sapiens	9606	25304211
7440-38-2	Arsenic	D001151	7440-38-2	ABP1	39520	Homo sapiens	9606	25304211
7440-38-2	Arsenic	D001151	7440-38-2	ABR	29	Homo sapiens	9606	25304211
7440-38-2	Arsenic	D001151	7440-38-2	ABR	29	Homo sapiens	9606	31135185
7440-38-2	Arsenic	D001151	7440-38-2	ABTB2	25841	Homo sapiens	9606	25304211
7440-38-2	Arsenic	D001151	7440-38-2	ACACA	31	Homo sapiens	9606	25304211
7440-38-2	Arsenic	D001151	7440-38-2	ACACB	32	Homo sapiens	9606	25304211
7440-38-2	Arsenic	D001151	7440-38-2	ACAD9	28976	Homo sapiens	9606	25304211
7440-38-2	Arsenic	D001151	7440-38-2	ACADS	35	Homo sapiens	9606	25304211
7440-38-2	Arsenic	D001151	7440-38-2	ACBD3	64746	Homo sapiens	9606	25304211
7440-38-2	Arsenic	D001151	7440-38-2	ACBD7	414149	Homo sapiens	9606	25304211
7440-38-2	Arsenic	D001151	7440-38-2	ACER3	55331	Mus musculus	10090	19654921
7440-38-2	Arsenic	D001151	7440-38-2	ACHE	43	Gallus gallus	9031	18443843
7440-38-2	Arsenic	D001151	7440-38-2	ACHE	43	Gallus gallus	9031	18443843
7440-38-2	Arsenic	D001151	7440-38-2	ACHE	43	Mus musculus	10090	24019935
7440-38-2	Arsenic	D001151	7440-38-2	ACHE	43	Rattus norvegicus	10116	21898718
7440-38-2	Arsenic	D001151	7440-38-2	ACKR2	1238	Homo sapiens	9606	25304211
7440-38-2	Arsenic	D001151	7440-38-2	ACKR2	1238	Mus musculus	10090	19654921
7440-38-2	Arsenic	D001151	7440-38-2	ACO1	48	Homo sapiens	9606	16386771
7440-38-2	Arsenic	D001151	7440-38-2	ACOD1	730249	Mus musculus	10090	19654921
7440-38-2	Arsenic	D001151	7440-38-2	ACOT4	122970	Homo sapiens	9606	25304211
7440-38-2	Arsenic	D001151	7440-38-2	ACOT6	641372	Homo sapiens	9606	25304211
7440-38-2	Arsenic	D001151	7440-38-2	ACOT7	11332	Homo sapiens	9606	25304211
7440-38-2	Arsenic	D001151	7440-38-2	ACOXL	55289	Homo sapiens	9606	25304211
7440-38-2	Arsenic	D001151	7440-38-2	ACP3	55	Homo sapiens	9606	25304211
7440-38-2	Arsenic	D001151	7440-38-2	ACRBP	84519	Homo sapiens	9606	25304211
7440-38-2	Arsenic	D001151	7440-38-2	ACSF3	197322	Homo sapiens	9606	25304211
