X..Input	ChemicalName	ChemicalId	CasRN	GeneSymbol	GeneId	Organism	OrganismId	PubMedIds
barium	Barium	D001464	7440-39-3	ADRA1A	148	Mus musculus	10090	11179201
barium	Barium	D001464	7440-39-3	AVP	551			16913857
barium	Barium	D001464	7440-39-3	AVP	551			16913857
barium	Barium	D001464	7440-39-3	AVP	551			16913857
barium	Barium	D001464	7440-39-3	BIB	34330	Drosophila melanogaster	7227	14990474
barium	Barium	D001464	7440-39-3	CACNA1A	773	Rattus norvegicus	10116	11313431
barium	Barium	D001464	7440-39-3	CACNA1B	774	Homo sapiens	9606	11756491
barium	Barium	D001464	7440-39-3	CACNA1B	774	Homo sapiens	9606	11007869|11756491|14559144
barium	Barium	D001464	7440-39-3	CACNA1B	774	Homo sapiens	9606	14559144
barium	Barium	D001464	7440-39-3	CACNA1B	774	Homo sapiens	9606	11007869
barium	Barium	D001464	7440-39-3	CACNA1B	774	Homo sapiens	9606	11007869
barium	Barium	D001464	7440-39-3	CACNA1B	774	Homo sapiens	9606	11007869
barium	Barium	D001464	7440-39-3	CACNA1B	774	Homo sapiens	9606	11007869
barium	Barium	D001464	7440-39-3	CACNA1B	774	Homo sapiens	9606	11007869
barium	Barium	D001464	7440-39-3	CACNA1B	774	Homo sapiens	9606	11007869
barium	Barium	D001464	7440-39-3	CACNA1B	774	Homo sapiens	9606	11007869
barium	Barium	D001464	7440-39-3	CACNA1B	774	Homo sapiens	9606	11007869
barium	Barium	D001464	7440-39-3	CACNA1B	774	Homo sapiens	9606	11007869
barium	Barium	D001464	7440-39-3	CACNA1B	774	Homo sapiens	9606	11007869
barium	Barium	D001464	7440-39-3	CACNA1B	774	Homo sapiens	9606	11007869
barium	Barium	D001464	7440-39-3	CACNA1B	774	Homo sapiens	9606	11007869
barium	Barium	D001464	7440-39-3	CACNA1B	774	Homo sapiens	9606	11007869
barium	Barium	D001464	7440-39-3	CACNA1C	775	Cavia porcellus	10141	11724757
barium	Barium	D001464	7440-39-3	CACNA1C	775	Cavia porcellus	10141	11724757
barium	Barium	D001464	7440-39-3	CACNA1C	775	Rattus norvegicus	10116	17569661
barium	Barium	D001464	7440-39-3	CACNA1D	776	Mesocricetus auratus	10036	11435619
barium	Barium	D001464	7440-39-3	CACNA1D	776	Mesocricetus auratus	10036	11435619
barium	Barium	D001464	7440-39-3	CACNA1D	776	Mesocricetus auratus	10036	11435619
barium	Barium	D001464	7440-39-3	CACNA1D	776	Mesocricetus auratus	10036	11435619
barium	Barium	D001464	7440-39-3	CACNA1D	776	Mus musculus	10090	15357422
barium	Barium	D001464	7440-39-3	CACNA1D	776	Mus musculus	10090	27798183
barium	Barium	D001464	7440-39-3	CACNA1D	776	Rattus norvegicus	10116	17567805
barium	Barium	D001464	7440-39-3	CACNA1E	777	Homo sapiens	9606	11179973
barium	Barium	D001464	7440-39-3	CACNA1E	777	Homo sapiens	9606	15245474
barium	Barium	D001464	7440-39-3	CACNA1E	777	Homo sapiens	9606	10669483
barium	Barium	D001464	7440-39-3	CACNA1E	777	Homo sapiens	9606	11179973
barium	Barium	D001464	7440-39-3	CACNA1E	777	Mus musculus	10090	11102459
barium	Barium	D001464	7440-39-3	CACNA1E	777	Mus musculus	10090	11102459
barium	Barium	D001464	7440-39-3	CACNA1E	777	Rattus norvegicus	10116	12663092
barium	Barium	D001464	7440-39-3	CACNA1E	777	Rattus norvegicus	10116	12663092
barium	Barium	D001464	7440-39-3	CACNA1E	777	Rattus norvegicus	10116	12663092
barium	Barium	D001464	7440-39-3	CACNA1E	777	Rattus norvegicus	10116	12663092
barium	Barium	D001464	7440-39-3	CACNA1E	777	Rattus norvegicus	10116	10627594|11179973|12663092
barium	Barium	D001464	7440-39-3	CACNA1E	777	Rattus norvegicus	10116	12663092
barium	Barium	D001464	7440-39-3	CACNA1E	777	Rattus norvegicus	10116	12663092
barium	Barium	D001464	7440-39-3	CACNA1E	777	Rattus norvegicus	10116	11179973
barium	Barium	D001464	7440-39-3	CACNA1E	777	Rattus norvegicus	10116	12663092
barium	Barium	D001464	7440-39-3	CACNA1E	777	Rattus norvegicus	10116	10627594
barium	Barium	D001464	7440-39-3	CACNA1E	777	Rattus norvegicus	10116	11179973
barium	Barium	D001464	7440-39-3	CACNA1E	777	Rattus norvegicus	10116	12663092
barium	Barium	D001464	7440-39-3	CACNA1E	777	Rattus norvegicus	10116	12663092
barium	Barium	D001464	7440-39-3	CACNA1E	777	Rattus norvegicus	10116	10627594|11179973
barium	Barium	D001464	7440-39-3	CACNA1F	778	Mus musculus	10090	14744918
barium	Barium	D001464	7440-39-3	CACNA1F	778	Mus musculus	10090	14744918
barium	Barium	D001464	7440-39-3	CACNA1F	778	Mus musculus	10090	14744918
barium	Barium	D001464	7440-39-3	CACNA1F	778	Mus musculus	10090	14744918
barium	Barium	D001464	7440-39-3	CACNA1F	778	Mus musculus	10090	14744918
barium	Barium	D001464	7440-39-3	CACNA1G	8913	Homo sapiens	9606	11179973
barium	Barium	D001464	7440-39-3	CACNA1G	8913	Homo sapiens	9606	12163980
barium	Barium	D001464	7440-39-3	CACNA1G	8913	Homo sapiens	9606	12163980
barium	Barium	D001464	7440-39-3	CACNA1G	8913	Homo sapiens	9606	12163980
barium	Barium	D001464	7440-39-3	CACNA1G	8913	Homo sapiens	9606	12163980
barium	Barium	D001464	7440-39-3	CACNA1G	8913	Homo sapiens	9606	12163980
barium	Barium	D001464	7440-39-3	CACNA1G	8913	Homo sapiens	9606	12163980
barium	Barium	D001464	7440-39-3	CACNA1G	8913	Homo sapiens	9606	12163980
barium	Barium	D001464	7440-39-3	CACNA1G	8913	Homo sapiens	9606	12163980
barium	Barium	D001464	7440-39-3	CACNA1G	8913	Homo sapiens	9606	12163980
barium	Barium	D001464	7440-39-3	CACNA1G	8913	Homo sapiens	9606	12163980
barium	Barium	D001464	7440-39-3	CACNA1H	8912	Homo sapiens	9606	11179973
barium	Barium	D001464	7440-39-3	CACNA1I	8911	Homo sapiens	9606	11179973
barium	Barium	D001464	7440-39-3	CACNA2D1	781	Homo sapiens	9606	15245474
barium	Barium	D001464	7440-39-3	CACNA2D1	781	Rattus norvegicus	10116	11313431
barium	Barium	D001464	7440-39-3	CACNA2D1	781	Rattus norvegicus	10116	15474003
barium	Barium	D001464	7440-39-3	CACNA2D2	9254	Mus musculus	10090	27798183
barium	Barium	D001464	7440-39-3	CACNB3	784	Homo sapiens	9606	15245474
barium	Barium	D001464	7440-39-3	CACNB4	785	Homo sapiens	9606	15245474
barium	Barium	D001464	7440-39-3	CACNB4	785	Rattus norvegicus	10116	11313431
barium	Barium	D001464	7440-39-3	CACNG2	10369	Homo sapiens	9606	11313431
barium	Barium	D001464	7440-39-3	CACNG3	10368	Homo sapiens	9606	11313431
barium	Barium	D001464	7440-39-3	CHRNA2	1135	Homo sapiens	9606	11821649
barium	Barium	D001464	7440-39-3	CHRNA2	1135	Homo sapiens	9606	11821649
barium	Barium	D001464	7440-39-3	CHRNA2	1135	Homo sapiens	9606	11821649
barium	Barium	D001464	7440-39-3	CHRNA2	1135	Homo sapiens	9606	11821649
barium	Barium	D001464	7440-39-3	CHRNA2	1135	Homo sapiens	9606	11821649
barium	Barium	D001464	7440-39-3	CHRNA2	1135	Homo sapiens	9606	11821649
barium	Barium	D001464	7440-39-3	CHRNA2	1135	Homo sapiens	9606	11821649
