X..Input	ChemicalName	ChemicalId	CasRN	GeneSymbol	GeneId	Organism	OrganismId	PubMedIds
131-57-7	oxybenzone	C005290	131-57-7	ABCB1	5243	Paracentrotus lividus	7656	23690080
131-57-7	oxybenzone	C005290	131-57-7	ABCC9	10060	Paracentrotus lividus	7656	23690080
131-57-7	oxybenzone	C005290	131-57-7	ABCG2A	735312	Danio rerio	7955	22721600
131-57-7	oxybenzone	C005290	131-57-7	ACAD10	80724	Rattus norvegicus	10116	30316929
131-57-7	oxybenzone	C005290	131-57-7	ACAD9	28976	Rattus norvegicus	10116	30316929
131-57-7	oxybenzone	C005290	131-57-7	ACBD3	64746	Rattus norvegicus	10116	30316929
131-57-7	oxybenzone	C005290	131-57-7	ACO2	50	Rattus norvegicus	10116	30316929
131-57-7	oxybenzone	C005290	131-57-7	ACOT2	10965	Rattus norvegicus	10116	30316929
131-57-7	oxybenzone	C005290	131-57-7	ACOX1	51	Rattus norvegicus	10116	30316929
131-57-7	oxybenzone	C005290	131-57-7	ACSL5	51703	Rattus norvegicus	10116	30316929
131-57-7	oxybenzone	C005290	131-57-7	ACSS2	55902	Rattus norvegicus	10116	30316929
131-57-7	oxybenzone	C005290	131-57-7	ADPRHL1	113622	Rattus norvegicus	10116	30316929
131-57-7	oxybenzone	C005290	131-57-7	AFF1-AS1	100506746	Rattus norvegicus	10116	30316929
131-57-7	oxybenzone	C005290	131-57-7	AHR	196	Rattus norvegicus	10116	15458797
131-57-7	oxybenzone	C005290	131-57-7	AHR	196	Rattus norvegicus	10116	30099065
131-57-7	oxybenzone	C005290	131-57-7	AIF1	199	Rattus norvegicus	10116	31368502
131-57-7	oxybenzone	C005290	131-57-7	AIF1	199	Rattus norvegicus	10116	31368502
131-57-7	oxybenzone	C005290	131-57-7	AMD1	262	Danio rerio	7955	22721600
131-57-7	oxybenzone	C005290	131-57-7	AMY2A3	100043686	Rattus norvegicus	10116	30316929
131-57-7	oxybenzone	C005290	131-57-7	ANKRD9	122416	Danio rerio	7955	22721600
131-57-7	oxybenzone	C005290	131-57-7	ANP32B	10541	Danio rerio	7955	22721600
