X..Input	ChemicalName	ChemicalId	CasRN	GeneSymbol	GeneId	Organism	OrganismId	PubMedIds
beta-hexachlorocyclohexane	beta-hexachlorocyclohexane	C023888		ABCA1	19	Mus musculus	10090	25270620
beta-hexachlorocyclohexane	beta-hexachlorocyclohexane	C023888		ABCB11	8647	Mus musculus	10090	28392238
beta-hexachlorocyclohexane	beta-hexachlorocyclohexane	C023888		ABCC2	1244	Mus musculus	10090	28392238
beta-hexachlorocyclohexane	beta-hexachlorocyclohexane	C023888		ABCC3	8714	Mus musculus	10090	28392238
beta-hexachlorocyclohexane	beta-hexachlorocyclohexane	C023888		ABCG1	9619	Mus musculus	10090	25270620
beta-hexachlorocyclohexane	beta-hexachlorocyclohexane	C023888		ABCG8	64241	Homo sapiens	9606	27203212
beta-hexachlorocyclohexane	beta-hexachlorocyclohexane	C023888		ABCG8	64241	Homo sapiens	9606	27203212
beta-hexachlorocyclohexane	beta-hexachlorocyclohexane	C023888		ACADL	33	Mus musculus	10090	28397872
beta-hexachlorocyclohexane	beta-hexachlorocyclohexane	C023888		ACADL	33	Mus musculus	10090	28397872
beta-hexachlorocyclohexane	beta-hexachlorocyclohexane	C023888		ACADM	34	Homo sapiens	9606	28397872
beta-hexachlorocyclohexane	beta-hexachlorocyclohexane	C023888		ACADM	34	Homo sapiens	9606	28397872
beta-hexachlorocyclohexane	beta-hexachlorocyclohexane	C023888		ACADM	34	Mus musculus	10090	28397872
beta-hexachlorocyclohexane	beta-hexachlorocyclohexane	C023888		ACADM	34	Mus musculus	10090	28397872
beta-hexachlorocyclohexane	beta-hexachlorocyclohexane	C023888		ACADS	35	Homo sapiens	9606	28397872
beta-hexachlorocyclohexane	beta-hexachlorocyclohexane	C023888		ACADS	35	Homo sapiens	9606	28397872
beta-hexachlorocyclohexane	beta-hexachlorocyclohexane	C023888		ACADS	35	Mus musculus	10090	28397872
beta-hexachlorocyclohexane	beta-hexachlorocyclohexane	C023888		ACADS	35	Mus musculus	10090	28397872
beta-hexachlorocyclohexane	beta-hexachlorocyclohexane	C023888		ACOX1	51	Mus musculus	10090	28397872
beta-hexachlorocyclohexane	beta-hexachlorocyclohexane	C023888		ADIPOQ	9370	Homo sapiens	9606	27883041
beta-hexachlorocyclohexane	beta-hexachlorocyclohexane	C023888		ADIPOQ	9370	Homo sapiens	9606	27883041
beta-hexachlorocyclohexane	beta-hexachlorocyclohexane	C023888		AGTR1A	11607	Mus musculus	10090	25270620
beta-hexachlorocyclohexane	beta-hexachlorocyclohexane	C023888		AKAP13	11214	Mus musculus	10090	25270620
beta-hexachlorocyclohexane	beta-hexachlorocyclohexane	C023888		ALAS1	211	Mus musculus	10090	25270620
beta-hexachlorocyclohexane	beta-hexachlorocyclohexane	C023888		ALG5	29880	Mus musculus	10090	25270620
beta-hexachlorocyclohexane	beta-hexachlorocyclohexane	C023888		ANK1	286	Mus musculus	10090	25270620
beta-hexachlorocyclohexane	beta-hexachlorocyclohexane	C023888		APOA5	116519	Mus musculus	10090	25270620
beta-hexachlorocyclohexane	beta-hexachlorocyclohexane	C023888		AR	367	Homo sapiens	9606	26022396
beta-hexachlorocyclohexane	beta-hexachlorocyclohexane	C023888		ATP11B	23200	Mus musculus	10090	25270620
beta-hexachlorocyclohexane	beta-hexachlorocyclohexane	C023888		ATP7B	540	Mus musculus	10090	25270620
beta-hexachlorocyclohexane	beta-hexachlorocyclohexane	C023888		BCR	613	Mus musculus	10090	25270620
beta-hexachlorocyclohexane	beta-hexachlorocyclohexane	C023888		BRCA1	672	Homo sapiens	9606	20206645
beta-hexachlorocyclohexane	beta-hexachlorocyclohexane	C023888		BRCA1	672	Homo sapiens	9606	20206645
beta-hexachlorocyclohexane	beta-hexachlorocyclohexane	C023888		BRCA1	672	Homo sapiens	9606	20206645
beta-hexachlorocyclohexane	beta-hexachlorocyclohexane	C023888		CASP3	836	Rattus norvegicus	10116	19760616
beta-hexachlorocyclohexane	beta-hexachlorocyclohexane	C023888		CASP3	836			19175174
beta-hexachlorocyclohexane	beta-hexachlorocyclohexane	C023888		CASP3	836			19175174
beta-hexachlorocyclohexane	beta-hexachlorocyclohexane	C023888		CASP8	841	Rattus norvegicus	10116	19760616
beta-hexachlorocyclohexane	beta-hexachlorocyclohexane	C023888		CASP8	841			19175174
beta-hexachlorocyclohexane	beta-hexachlorocyclohexane	C023888		CASP8	841			19175174
beta-hexachlorocyclohexane	beta-hexachlorocyclohexane	C023888		CASP9	842			19175174
beta-hexachlorocyclohexane	beta-hexachlorocyclohexane	C023888		CASP9	842			19175174
beta-hexachlorocyclohexane	beta-hexachlorocyclohexane	C023888		CAT	847	Rattus norvegicus	10116	16046044
beta-hexachlorocyclohexane	beta-hexachlorocyclohexane	C023888		CCDC63	160762	Mus musculus	10090	25270620
beta-hexachlorocyclohexane	beta-hexachlorocyclohexane	C023888		CCND1	595	Homo sapiens	9606	20206645
