X..Input	ChemicalName	ChemicalId	CasRN	GeneSymbol	GeneId	Organism	OrganismId	PubMedIds
75-27-4	bromodichloromethane	C025191	75-27-4	B3GAT1	27087	Mus musculus	10090	24211274
75-27-4	bromodichloromethane	C025191	75-27-4	CASP3	836	Mus musculus	10090	24211274
75-27-4	bromodichloromethane	C025191	75-27-4	CASP3	836	Mus musculus	10090	24211274
75-27-4	bromodichloromethane	C025191	75-27-4	CASP3	836	Mus musculus	10090	24211274
75-27-4	bromodichloromethane	C025191	75-27-4	CCL2	6347	Mus musculus	10090	23438451
75-27-4	bromodichloromethane	C025191	75-27-4	CCND1	595	Rattus norvegicus	10116	24001804
75-27-4	bromodichloromethane	C025191	75-27-4	CD68	968	Mus musculus	10090	23438451
75-27-4	bromodichloromethane	C025191	75-27-4	CD68	968	Mus musculus	10090	23438451
75-27-4	bromodichloromethane	C025191	75-27-4	CDH1	999	Rattus norvegicus	10116	24001804
75-27-4	bromodichloromethane	C025191	75-27-4	CDH1	999	Rattus norvegicus	10116	24001804
75-27-4	bromodichloromethane	C025191	75-27-4	CDH1	999	Rattus norvegicus	10116	24001804
75-27-4	bromodichloromethane	C025191	75-27-4	CGB3	1082	Homo sapiens	9606	12970577|14691210
75-27-4	bromodichloromethane	C025191	75-27-4	CYP1A2	1544	Homo sapiens	9606	12076521
75-27-4	bromodichloromethane	C025191	75-27-4	CYP1A2	1544	Rattus norvegicus	10116	11295256
75-27-4	bromodichloromethane	C025191	75-27-4	CYP1A2	1544	Rattus norvegicus	10116	11295256
75-27-4	bromodichloromethane	C025191	75-27-4	CYP1A2	1544	Rattus norvegicus	10116	12062927
75-27-4	bromodichloromethane	C025191	75-27-4	CYP1A2	1544	Rattus norvegicus	10116	11295256|12076521
75-27-4	bromodichloromethane	C025191	75-27-4	CYP1A2	1544	Rattus norvegicus	10116	12062927
75-27-4	bromodichloromethane	C025191	75-27-4	CYP1A2	1544	Rattus norvegicus	10116	12062927
75-27-4	bromodichloromethane	C025191	75-27-4	CYP2A6	1548	Homo sapiens	9606	12076521
75-27-4	bromodichloromethane	C025191	75-27-4	CYP2B1	24300	Rattus norvegicus	10116	11295256
75-27-4	bromodichloromethane	C025191	75-27-4	CYP2B1	24300	Rattus norvegicus	10116	11295256
75-27-4	bromodichloromethane	C025191	75-27-4	CYP2B1	24300	Rattus norvegicus	10116	11295256|12076521
