# Input	ChemicalName	ChemicalId	CasRN	GeneSymbol	GeneId	Organism	OrganismId	PubMedIds
106-99-0	"1,3-butadiene"	C031763	106-99-0	A4GALT	53947	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	AADAC	13	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	AADAT	51166	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	ABCA17	381072	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	ABCB11	8647	Mus musculus	10090	21147608|29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	ABCB1A	18671	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	ABCB4	5244	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	ABCB6	10058	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	ABCC2	1244	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	ACAP1	9744	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	ACOT12	134526	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	ACOXL	55289	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	ACSS3	79611	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	ACTA2	59	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	ADAM7	8756	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	ADAMTS6	11174	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	ADAMTS9	56999	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	ADAMTSL2	9719	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	ADCY1	107	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	ADCYAP1R1	117	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	ADGRG5	221188	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	ADH4	127	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	ADH6-PS1	639769	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	ADM	133	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	ADORA2A	135	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	AEN	64782	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	AFAP1L2	84632	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	AFM	173	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	AGAP2	116986	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	AGMAT	79814	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	AGXT	189	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	AHCY	191	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	AHDC1	27245	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	AHSG	197	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	AIM2	9447	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	AKNA	80709	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	AKR1B8	14187	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	AKR1C14	105387	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	AKR1C19	432720	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	ALAS1	211	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	ALB	213	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	ALDH1A1	216	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	ALDH8A1	64577	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	ALDOB	229	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	ANGPTL1	9068	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	ANGPTL4	51129	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	ANK3	288	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	ANPEP	290	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	AOX1	316	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	AP1S3	130340	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	APBB1IP	54518	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	APLNR	187	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	APOA2	336	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	APOA5	116519	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	APOB	338	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	APOC3	345	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	APOF	319	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	APOH	350	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	APON	28194	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	AQP9	366	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	ARHGAP15	55843	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	ARHGAP15OS	320872	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	ARHGAP17	55114	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	ARHGAP25	9938	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	ARHGAP27OS3	653030	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	ARHGAP30	257106	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	ARHGAP4	393	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	ARHGAP45	23526	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	ARHGDIB	397	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	ARID1A	8289	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	ARL5C	390790	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	ART2A	11871	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	ASPN	54829	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	ASS1	445	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	ASXL3	80816	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	ATN1	1822	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	ATP1A3	478	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	ATP1B2	482	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	ATP7B	540	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	ATP8B1	5205	Mus musculus	10090	21147608
106-99-0	"1,3-butadiene"	C031763	106-99-0	ATP8B4	79895	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	AUTS2	26053	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	AVPR1A	552	Mus musculus	10090	21147608
106-99-0	"1,3-butadiene"	C031763	106-99-0	AVPR2	554	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	B3GNT5	84002	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	B4GALNT1	2583	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	B4GALNT3	283358	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	BACH2	60468	Mus musculus	10090	29038090
106-99-0	"1,3-butadiene"	C031763	106-99-0	BACH2OS	414068	Mus musculus	10090	29038090
