# Input	ChemicalName	ChemicalId	CasRN	GeneSymbol	GeneId	Organism	OrganismId	PubMedIds
94-26-8	butylparaben	C038091	94-26-8	A1CF	29974	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	A2ML	100006972	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	AARS2	57505	Homo sapiens	9606	17121429
94-26-8	butylparaben	C038091	94-26-8	AASDH	132949	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	ABAT	18	Rattus norvegicus	10116	25607892
94-26-8	butylparaben	C038091	94-26-8	ABCA1B	100136868	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	ABCA4B	555506	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	ABCC2	1244	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	ABCF2A	336770	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	ABHD4	63874	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	ABTB2A	559451	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	ACAN	176	Mus musculus	10090	28527915
94-26-8	butylparaben	C038091	94-26-8	ACBD4	79777	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	ACOT14	557184	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	ACOT15	557032	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	ACOT16	402867	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	ACOT17	572757	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	ACOT18	556673	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	ACP5A	406801	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	ACSL6	23305	Homo sapiens	9606	17121429
94-26-8	butylparaben	C038091	94-26-8	ACTN1	87	Rattus norvegicus	10116	25607892
94-26-8	butylparaben	C038091	94-26-8	ACY3.2	436619	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	ADAM17	6868	Rattus norvegicus	10116	25607892
94-26-8	butylparaben	C038091	94-26-8	ADAP2	55803	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	ADGRE14	108182849	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	ADH8A	322482	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	ADH8B	402841	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	ADIPOQ	9370	Homo sapiens	9606	22956630|31016361
94-26-8	butylparaben	C038091	94-26-8	ADIPOQ	9370	Mus musculus	10090	22956630
94-26-8	butylparaben	C038091	94-26-8	ADM	133	Homo sapiens	9606	17121429
94-26-8	butylparaben	C038091	94-26-8	ADRA2DA	266754	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	AFP4	568707	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	AFTPHB	100004990	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	AGAP3	116988	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	AGT	183	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	AGXTB	79378	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	AHDC1	27245	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	AHR1A	246224	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	AKAP7	9465	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	AKR1A1A	445326	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	ALDH3B2	222	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	ALDOB	229	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	ALPL	249	Mus musculus	10090	28527915
94-26-8	butylparaben	C038091	94-26-8	AMBP	259	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	ANGPTL2A	569092	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	ANGPTL2B	503514	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	ANGPTL3	27329	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	ANGPTL5	253935	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	ANKEF1A	566413	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	ANKLE2	23141	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	ANKRD1B	564159	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	ANKRD9	122416	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	ANO8A	562947	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	ANTXR2A	557239	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	ANXA2B	799806	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	APOA1B	100101640	Danio rerio	7955	29458080
94-26-8	butylparaben	C038091	94-26-8	APOA2	336	Danio rerio	7955	29458080
