# Input	ChemicalName	ChemicalId	CasRN	GeneSymbol	GeneId	Organism	OrganismId	PubMedIds
7440-46-2	Cesium	D002586	7440-46-2	APOA1	335	Rattus norvegicus	10116	20173315
7440-46-2	Cesium	D002586	7440-46-2	APP	351			8380642
7440-46-2	Cesium	D002586	7440-46-2	BGLAP	632	Rattus norvegicus	10116	18797846
7440-46-2	Cesium	D002586	7440-46-2	CAT	847	Carassius gibelio	101364	17194924
7440-46-2	Cesium	D002586	7440-46-2	CYP27A1	1593	Rattus norvegicus	10116	20173315
7440-46-2	Cesium	D002586	7440-46-2	CYP27B1	1594	Rattus norvegicus	10116	18797846
7440-46-2	Cesium	D002586	7440-46-2	CYP2R1	120227	Rattus norvegicus	10116	18797846
7440-46-2	Cesium	D002586	7440-46-2	KCNH3	23416	Homo sapiens	9606	12193184
7440-46-2	Cesium	D002586	7440-46-2	KCNJ15	3772	Homo sapiens	9606	15328350
7440-46-2	Cesium	D002586	7440-46-2	KCNJ2	3759	Bos taurus	9913	10967048
7440-46-2	Cesium	D002586	7440-46-2	KCNMA1	3778	Mus musculus	10090	16636204
7440-46-2	Cesium	D002586	7440-46-2	PROC	5624	Bos taurus	9913	3793723
7440-46-2	Cesium	D002586	7440-46-2	PXD	2768671	Carassius gibelio	101364	17194924
7440-46-2	Cesium	D002586	7440-46-2	RXRA	6256	Rattus norvegicus	10116	18797846|20173315
7440-46-2	Cesium	D002586	7440-46-2	SOAT2	8435	Rattus norvegicus	10116	20173315
7440-46-2	Cesium	D002586	7440-46-2	SOD	692639	Carassius gibelio	101364	17194924
7440-46-2	Cesium	D002586	7440-46-2	TRPC6	7225	Mus musculus	10090	11179201
