X..Input	ChemicalName	ChemicalId	CasRN	GeneSymbol	GeneId	Organism	OrganismId	PubMedIds
67-66-3	Chloroform	D002725	67-66-3	ABCB1	5243	Homo sapiens	9606	15120965
67-66-3	Chloroform	D002725	67-66-3	ABCB1	5243	Rattus norvegicus	10116	17522070
67-66-3	Chloroform	D002725	67-66-3	ABCB11	8647	Rattus norvegicus	10116	17522070
67-66-3	Chloroform	D002725	67-66-3	ABCB1B	18669	Rattus norvegicus	10116	15120965
67-66-3	Chloroform	D002725	67-66-3	ABCC3	8714	Rattus norvegicus	10116	17522070
67-66-3	Chloroform	D002725	67-66-3	ACADM	34	Rattus norvegicus	10116	17522070
67-66-3	Chloroform	D002725	67-66-3	ACSL1	2180	Rattus norvegicus	10116	17522070
67-66-3	Chloroform	D002725	67-66-3	AKR7A3	22977	Rattus norvegicus	10116	21813463
67-66-3	Chloroform	D002725	67-66-3	ALDH1A1	216	Rattus norvegicus	10116	21813463
67-66-3	Chloroform	D002725	67-66-3	ALDH3A2	224	Rattus norvegicus	10116	17522070
67-66-3	Chloroform	D002725	67-66-3	ALDOA	226	Rattus norvegicus	10116	17522070
67-66-3	Chloroform	D002725	67-66-3	ANXA2	302	Rattus norvegicus	10116	21813463
67-66-3	Chloroform	D002725	67-66-3	APEX1	328	Rattus norvegicus	10116	17522070
67-66-3	Chloroform	D002725	67-66-3	ASL	435	Rattus norvegicus	10116	17522070
67-66-3	Chloroform	D002725	67-66-3	BTG2	7832	Mus musculus	10090	9397189
67-66-3	Chloroform	D002725	67-66-3	BTG2	7832	Rattus norvegicus	10116	17522070|21813463
67-66-3	Chloroform	D002725	67-66-3	CALU	813	Rattus norvegicus	10116	17522070
67-66-3	Chloroform	D002725	67-66-3	CAT	847	Rattus norvegicus	10116	17522070
67-66-3	Chloroform	D002725	67-66-3	CCL2	6347	Homo sapiens	9606	21907259
67-66-3	Chloroform	D002725	67-66-3	CCNG1	900	Rattus norvegicus	10116	17522070
67-66-3	Chloroform	D002725	67-66-3	CDKN1A	1026	Rattus norvegicus	10116	21813463
67-66-3	Chloroform	D002725	67-66-3	CES2	8824	Rattus norvegicus	10116	21813463
67-66-3	Chloroform	D002725	67-66-3	CHIL3	12655	Mus musculus	10090	21977998
67-66-3	Chloroform	D002725	67-66-3	CLU	1191	Rattus norvegicus	10116	17522070
67-66-3	Chloroform	D002725	67-66-3	CTSL	1514	Rattus norvegicus	10116	17522070
