X..Input	ChemicalName	ChemicalId	CasRN	GeneSymbol	GeneId	Organism	OrganismId	PubMedIds
7440-48-4	Cobalt	D003035	7440-48-4	ABCB1	5243	Homo sapiens	9606	2900677
7440-48-4	Cobalt	D003035	7440-48-4	ABCB1	5243	Homo sapiens	9606	2900677
7440-48-4	Cobalt	D003035	7440-48-4	ABCB6	10058	Homo sapiens	9606	18078969
7440-48-4	Cobalt	D003035	7440-48-4	ABCC6	368	Rattus norvegicus	10116	12069597
7440-48-4	Cobalt	D003035	7440-48-4	ABCC6	368	Rattus norvegicus	10116	12069597
7440-48-4	Cobalt	D003035	7440-48-4	ACO1	48	Homo sapiens	9606	16386771|16877034
7440-48-4	Cobalt	D003035	7440-48-4	ADGRE1	2015	Mus musculus	10090	23503329
7440-48-4	Cobalt	D003035	7440-48-4	ADORA2B	136	Homo sapiens	9606	18078969
7440-48-4	Cobalt	D003035	7440-48-4	ADRB2	154	Homo sapiens	9606	11752207
7440-48-4	Cobalt	D003035	7440-48-4	AHR	196	Rattus norvegicus	10116	2160969
7440-48-4	Cobalt	D003035	7440-48-4	AK3	50808	Homo sapiens	9606	18078969
7440-48-4	Cobalt	D003035	7440-48-4	AKR1C1	1645	Homo sapiens	9606	20105288
7440-48-4	Cobalt	D003035	7440-48-4	ALB	213	Bos taurus	9913	22519414
7440-48-4	Cobalt	D003035	7440-48-4	ALB	213	Bos taurus	9913	22354161
7440-48-4	Cobalt	D003035	7440-48-4	ALB	213	Bos taurus	9913	22519414
7440-48-4	Cobalt	D003035	7440-48-4	ALB	213	Homo sapiens	9606	17274600
7440-48-4	Cobalt	D003035	7440-48-4	ALB	213	Homo sapiens	9606	22178666
7440-48-4	Cobalt	D003035	7440-48-4	ALB	213	Rattus norvegicus	10116	22178666
7440-48-4	Cobalt	D003035	7440-48-4	ALDH1A1	216	Homo sapiens	9606	20105288
7440-48-4	Cobalt	D003035	7440-48-4	ALDH1L2	160428	Homo sapiens	9606	18078969
7440-48-4	Cobalt	D003035	7440-48-4	ALPK2	115701	Homo sapiens	9606	18078969
7440-48-4	Cobalt	D003035	7440-48-4	ANGPTL4	51129	Homo sapiens	9606	20105288
7440-48-4	Cobalt	D003035	7440-48-4	ANGPTL4	51129	Homo sapiens	9606	18078969
