X..Input	ChemicalName	ChemicalId	CasRN	GeneSymbol	GeneId	Organism	OrganismId	PubMedIds
7440-50-8	Copper	D003300	7440-50-8	143B1	100528489	Perca flavescens	8167	25646894
7440-50-8	Copper	D003300	7440-50-8	A1BG	1	Homo sapiens	9606	23896426
7440-50-8	Copper	D003300	7440-50-8	A2M	2	Homo sapiens	9606	23896426
7440-50-8	Copper	D003300	7440-50-8	A2M	2	Rattus norvegicus	10116	22465980
7440-50-8	Copper	D003300	7440-50-8	A3GALT2	127550	Rattus norvegicus	10116	30556269
7440-50-8	Copper	D003300	7440-50-8	A4GALT	53947	Rattus norvegicus	10116	26033743
7440-50-8	Copper	D003300	7440-50-8	AACS	65985	Mus musculus	10090	17205981
7440-50-8	Copper	D003300	7440-50-8	AADAC	13	Rattus norvegicus	10116	19821111
7440-50-8	Copper	D003300	7440-50-8	AADACL3	126767	Rattus norvegicus	10116	26033743
7440-50-8	Copper	D003300	7440-50-8	AADACL4	343066	Rattus norvegicus	10116	26033743
7440-50-8	Copper	D003300	7440-50-8	AADAT	51166	Homo sapiens	9606	20971185
7440-50-8	Copper	D003300	7440-50-8	AADAT	51166	Rattus norvegicus	10116	22465980
7440-50-8	Copper	D003300	7440-50-8	AARS1	16	Homo sapiens	9606	24690739
7440-50-8	Copper	D003300	7440-50-8	AATK	9625	Rattus norvegicus	10116	26033743
7440-50-8	Copper	D003300	7440-50-8	AATK	9625	Rattus norvegicus	10116	26033743
7440-50-8	Copper	D003300	7440-50-8	ABAT	18	Rattus norvegicus	10116	22465980
7440-50-8	Copper	D003300	7440-50-8	ABCA1	19	Homo sapiens	9606	24690739
7440-50-8	Copper	D003300	7440-50-8	ABCA1	19	Rattus norvegicus	10116	30556269
7440-50-8	Copper	D003300	7440-50-8	ABCA13	154664	Homo sapiens	9606	20971185
7440-50-8	Copper	D003300	7440-50-8	ABCA17	381072	Rattus norvegicus	10116	26033743
7440-50-8	Copper	D003300	7440-50-8	ABCA1A	558924	Danio rerio	7955	21356183
7440-50-8	Copper	D003300	7440-50-8	ABCA1A	558924	Danio rerio	7955	21356183
7440-50-8	Copper	D003300	7440-50-8	ABCA2	20	Mus musculus	10090	16629173
7440-50-8	Copper	D003300	7440-50-8	ABCA2	20	Rattus norvegicus	10116	30556269
7440-50-8	Copper	D003300	7440-50-8	ABCA3	21	Homo sapiens	9606	24690739
7440-50-8	Copper	D003300	7440-50-8	ABCA5	23461	Danio rerio	7955	21356183
7440-50-8	Copper	D003300	7440-50-8	ABCA5	23461	Danio rerio	7955	21356183
7440-50-8	Copper	D003300	7440-50-8	ABCA5	23461	Homo sapiens	9606	20971185
7440-50-8	Copper	D003300	7440-50-8	ABCB1	5243	Corbicula fluminea	45949	15084411
7440-50-8	Copper	D003300	7440-50-8	ABCB1	5243	Homo sapiens	9606	2900677
7440-50-8	Copper	D003300	7440-50-8	ABCB1	5243	Orbicella franksi	48499	19501419
7440-50-8	Copper	D003300	7440-50-8	ABCB10	23456	Homo sapiens	9606	20971185
7440-50-8	Copper	D003300	7440-50-8	ABCB1A	18671	Rattus norvegicus	10116	30556269
7440-50-8	Copper	D003300	7440-50-8	ABCB6	10058	Rattus norvegicus	10116	30556269
7440-50-8	Copper	D003300	7440-50-8	ABCB9	23457	Rattus norvegicus	10116	26033743
7440-50-8	Copper	D003300	7440-50-8	ABCC2	1244	Homo sapiens	9606	25167922
7440-50-8	Copper	D003300	7440-50-8	ABCC3	8714	Homo sapiens	9606	20971185
7440-50-8	Copper	D003300	7440-50-8	ABCC5	10057	Mus musculus	10090	15467011
7440-50-8	Copper	D003300	7440-50-8	ABCC5	10057	Mus musculus	10090	16629173
