X..Input	ChemicalName	ChemicalId	CasRN	GeneSymbol	GeneId	Organism	OrganismId	PubMedIds
7553-56-2	Iodine	D007455	7553-56-2	ALDH1L1	10840	Rattus norvegicus	10116	30090431
7553-56-2	Iodine	D007455	7553-56-2	ALDH5A1	7915	Rattus norvegicus	10116	30090431
7553-56-2	Iodine	D007455	7553-56-2	BAX	581	Homo sapiens	9606	17173243
7553-56-2	Iodine	D007455	7553-56-2	BCL2	596	Homo sapiens	9606	17173243
7553-56-2	Iodine	D007455	7553-56-2	CASP3	836	Homo sapiens	9606	17173243
7553-56-2	Iodine	D007455	7553-56-2	CD86	942	Rattus norvegicus	10116	19035182
7553-56-2	Iodine	D007455	7553-56-2	CDK5R1	8851	Rattus norvegicus	10116	22987596
7553-56-2	Iodine	D007455	7553-56-2	CLCN5	1184	Mus musculus	10090	16306076
7553-56-2	Iodine	D007455	7553-56-2	CLCN5	1184	Mus musculus	10090	16306076
7553-56-2	Iodine	D007455	7553-56-2	CLDN5	7122	Homo sapiens	9606	16514648
7553-56-2	Iodine	D007455	7553-56-2	CLDN5	7122	Homo sapiens	9606	16514648
7553-56-2	Iodine	D007455	7553-56-2	CLDN5	7122	Homo sapiens	9606	16514648
7553-56-2	Iodine	D007455	7553-56-2	CLDN5	7122	Homo sapiens	9606	16514648
7553-56-2	Iodine	D007455	7553-56-2	COL1A1	1277	Homo sapiens	9606	22083529
7553-56-2	Iodine	D007455	7553-56-2	CTH	1491	Rattus norvegicus	10116	30090431
7553-56-2	Iodine	D007455	7553-56-2	CYB5A	1528	Rattus norvegicus	10116	30090431
7553-56-2	Iodine	D007455	7553-56-2	CYP2B10	13088	Mus musculus	10090	22503787
7553-56-2	Iodine	D007455	7553-56-2	CYP3A11	13112	Mus musculus	10090	22503787
7553-56-2	Iodine	D007455	7553-56-2	CYP3A11	13112	Mus musculus	10090	22503787
7553-56-2	Iodine	D007455	7553-56-2	DIO1	1733	Mus musculus	10090	17044649
7553-56-2	Iodine	D007455	7553-56-2	DIO1	1733	Mus musculus	10090	17044649
7553-56-2	Iodine	D007455	7553-56-2	DIO1	1733	Mus musculus	10090	17044649
7553-56-2	Iodine	D007455	7553-56-2	DIO1	1733	Mus musculus	10090	17044649
7553-56-2	Iodine	D007455	7553-56-2	DIO1	1733	Rattus norvegicus	10116	15922087
7553-56-2	Iodine	D007455	7553-56-2	DIO1	1733	Rattus norvegicus	10116	15922087
7553-56-2	Iodine	D007455	7553-56-2	FOS	2353	Rattus norvegicus	10116	12475444|12666833
7553-56-2	Iodine	D007455	7553-56-2	FOS	2353	Rattus norvegicus	10116	12475444|12666833
7553-56-2	Iodine	D007455	7553-56-2	FOS	2353	Rattus norvegicus	10116	12666833
7553-56-2	Iodine	D007455	7553-56-2	FOS	2353	Rattus norvegicus	10116	12666833
7553-56-2	Iodine	D007455	7553-56-2	FTCD	10841	Rattus norvegicus	10116	30090431
7553-56-2	Iodine	D007455	7553-56-2	GAMT	2593	Rattus norvegicus	10116	30090431
7553-56-2	Iodine	D007455	7553-56-2	IFNG	3458	Rattus norvegicus	10116	29385629
7553-56-2	Iodine	D007455	7553-56-2	IFNG	3458	Rattus norvegicus	10116	29385629
7553-56-2	Iodine	D007455	7553-56-2	IL17A	3605	Rattus norvegicus	10116	29385629
7553-56-2	Iodine	D007455	7553-56-2	IL17A	3605	Rattus norvegicus	10116	29385629
7553-56-2	Iodine	D007455	7553-56-2	IL1B	3553	Rattus norvegicus	10116	29385629
7553-56-2	Iodine	D007455	7553-56-2	IL2	3558	Rattus norvegicus	10116	19035182
7553-56-2	Iodine	D007455	7553-56-2	IL6	3569	Rattus norvegicus	10116	29385629
7553-56-2	Iodine	D007455	7553-56-2	IL6	3569	Rattus norvegicus	10116	29385629
7553-56-2	Iodine	D007455	7553-56-2	JUN	3725	Rattus norvegicus	10116	29385629
7553-56-2	Iodine	D007455	7553-56-2	JUN	3725	Rattus norvegicus	10116	12475444|12666833
7553-56-2	Iodine	D007455	7553-56-2	JUN	3725	Rattus norvegicus	10116	12475444|12666833
7553-56-2	Iodine	D007455	7553-56-2	JUN	3725	Rattus norvegicus	10116	12666833
7553-56-2	Iodine	D007455	7553-56-2	JUN	3725	Rattus norvegicus	10116	12666833
7553-56-2	Iodine	D007455	7553-56-2	KRT18	3875	Rattus norvegicus	10116	30090431
7553-56-2	Iodine	D007455	7553-56-2	LEP	3952	Rattus norvegicus	10116	30090431
7553-56-2	Iodine	D007455	7553-56-2	LHB	3972	Rattus norvegicus	10116	30090431
7553-56-2	Iodine	D007455	7553-56-2	MAP1B	4131	Rattus norvegicus	10116	27444543
7553-56-2	Iodine	D007455	7553-56-2	MBP	4155	Mus musculus	10090	16229266
7553-56-2	Iodine	D007455	7553-56-2	MBP	4155	Mus musculus	10090	16229266
7553-56-2	Iodine	D007455	7553-56-2	NFKBIA	4792	Rattus norvegicus	10116	27444543
7553-56-2	Iodine	D007455	7553-56-2	NOS2	4843	Cavia porcellus	10141	11305779
7553-56-2	Iodine	D007455	7553-56-2	NR1I3	9970	Mus musculus	10090	22503787
7553-56-2	Iodine	D007455	7553-56-2	OCLN	100506658	Homo sapiens	9606	16514648
7553-56-2	Iodine	D007455	7553-56-2	OCLN	100506658	Homo sapiens	9606	16514648
7553-56-2	Iodine	D007455	7553-56-2	OCLN	100506658	Homo sapiens	9606	16514648
7553-56-2	Iodine	D007455	7553-56-2	OCLN	100506658	Homo sapiens	9606	16514648
7553-56-2	Iodine	D007455	7553-56-2	PON1	5444	Rattus norvegicus	10116	30090431
7553-56-2	Iodine	D007455	7553-56-2	PON1	5444	Rattus norvegicus	10116	30090431
7553-56-2	Iodine	D007455	7553-56-2	PON2	5445	Rattus norvegicus	10116	30090431
7553-56-2	Iodine	D007455	7553-56-2	PTGS2	5743	Cavia porcellus	10141	11305779
