X..Input	ChemicalName	ChemicalId	CasRN	GeneSymbol	GeneId	Organism	OrganismId	PubMedIds
7439-92-1	Lead	D007854	7439-92-1	A2M	2	Homo sapiens	9606	23896426
7439-92-1	Lead	D007854	7439-92-1	AAGAB	79719	Homo sapiens	9606	28903495
7439-92-1	Lead	D007854	7439-92-1	ABCA2	20	Homo sapiens	9606	28903495
7439-92-1	Lead	D007854	7439-92-1	ABCA3	21	Homo sapiens	9606	28903495
7439-92-1	Lead	D007854	7439-92-1	ABCB1	5243	Homo sapiens	9606	25728017
7439-92-1	Lead	D007854	7439-92-1	ABCC2	1244	Danio rerio	7955	21266201
7439-92-1	Lead	D007854	7439-92-1	ABCC2	1244	Danio rerio	7955	21266201
7439-92-1	Lead	D007854	7439-92-1	ABCC3	8714	Homo sapiens	9606	19921347
7439-92-1	Lead	D007854	7439-92-1	ABCF1	23	Homo sapiens	9606	19921347
7439-92-1	Lead	D007854	7439-92-1	ABCG4	64137	Homo sapiens	9606	28903495
7439-92-1	Lead	D007854	7439-92-1	ABHD12	26090	Homo sapiens	9606	19921347
7439-92-1	Lead	D007854	7439-92-1	ABHD2	11057	Homo sapiens	9606	28903495
7439-92-1	Lead	D007854	7439-92-1	ABHD8	79575	Homo sapiens	9606	28903495
7439-92-1	Lead	D007854	7439-92-1	ABL2	27	Homo sapiens	9606	19921347
7439-92-1	Lead	D007854	7439-92-1	ABLIM1	3983	Homo sapiens	9606	28903495
7439-92-1	Lead	D007854	7439-92-1	ABLIM1	3983	Homo sapiens	9606	28903495
7439-92-1	Lead	D007854	7439-92-1	ABLIM2	84448	Homo sapiens	9606	28903495
7439-92-1	Lead	D007854	7439-92-1	ABT1	29777	Homo sapiens	9606	28903495
7439-92-1	Lead	D007854	7439-92-1	ACACB	32	Homo sapiens	9606	19921347
7439-92-1	Lead	D007854	7439-92-1	ACADL	33	Homo sapiens	9606	19921347
7439-92-1	Lead	D007854	7439-92-1	ACADM	34	Homo sapiens	9606	28903495
7439-92-1	Lead	D007854	7439-92-1	ACBD4	79777	Homo sapiens	9606	28903495
7439-92-1	Lead	D007854	7439-92-1	ACBD5	91452	Homo sapiens	9606	28903495
7439-92-1	Lead	D007854	7439-92-1	ACD	65057	Homo sapiens	9606	19921347
7439-92-1	Lead	D007854	7439-92-1	ACE	1636	Rattus norvegicus	10116	21364929
7439-92-1	Lead	D007854	7439-92-1	ACHE	43	Homo sapiens	9606	28903495
7439-92-1	Lead	D007854	7439-92-1	ACHE	43	Rattus norvegicus	10116	15266904
7439-92-1	Lead	D007854	7439-92-1	ACHE	43	Rattus norvegicus	10116	15266904|15452883
7439-92-1	Lead	D007854	7439-92-1	ACKR2	1238	Homo sapiens	9606	19921347
7439-92-1	Lead	D007854	7439-92-1	ACP1	52	Homo sapiens	9606	28903495
7439-92-1	Lead	D007854	7439-92-1	ACRV1	56	Homo sapiens	9606	19921347
7439-92-1	Lead	D007854	7439-92-1	ACSBG1	23205	Homo sapiens	9606	19921347
7439-92-1	Lead	D007854	7439-92-1	ACSS1	84532	Homo sapiens	9606	19921347
7439-92-1	Lead	D007854	7439-92-1	ACSS3	79611	Homo sapiens	9606	28903495
7439-92-1	Lead	D007854	7439-92-1	ACTB	60	Homo sapiens	9606	28903495
7439-92-1	Lead	D007854	7439-92-1	ACTL6A	86	Homo sapiens	9606	28903495
7439-92-1	Lead	D007854	7439-92-1	ACTN2	88	Homo sapiens	9606	28903495
7439-92-1	Lead	D007854	7439-92-1	ACVR1	90	Homo sapiens	9606	28903495
