X..Input	ChemicalName	ChemicalId	CasRN	GeneSymbol	GeneId	Organism	OrganismId	PubMedIds
7439-96-5	Manganese	D008345	7439-96-5	ABCA5	23461	Homo sapiens	9606	17175027
7439-96-5	Manganese	D008345	7439-96-5	ABCA9	10350	Homo sapiens	9606	17175027
7439-96-5	Manganese	D008345	7439-96-5	ABCB1	5243	Homo sapiens	9606	2900677
7439-96-5	Manganese	D008345	7439-96-5	ABCB1	5243	Homo sapiens	9606	2900677
7439-96-5	Manganese	D008345	7439-96-5	ABCB1A	18671	Rattus norvegicus	10116	26745496
7439-96-5	Manganese	D008345	7439-96-5	ABCC6	368	Rattus norvegicus	10116	12069597
7439-96-5	Manganese	D008345	7439-96-5	ABCC6	368	Rattus norvegicus	10116	12069597
7439-96-5	Manganese	D008345	7439-96-5	ABI2	10152	Homo sapiens	9606	17175027
7439-96-5	Manganese	D008345	7439-96-5	ACAT2	39	Mus musculus	10090	23499988
7439-96-5	Manganese	D008345	7439-96-5	ACE-2	171905	Caenorhabditis elegans	6239	30336192
7439-96-5	Manganese	D008345	7439-96-5	ACE-2	171905	Caenorhabditis elegans	6239	30336192
7439-96-5	Manganese	D008345	7439-96-5	ACHE	43	Mus musculus	10090	30738988
7439-96-5	Manganese	D008345	7439-96-5	ACHE	43	Mus musculus	10090	30738988
7439-96-5	Manganese	D008345	7439-96-5	ACHE	43	Rattus norvegicus	10116	30844427
7439-96-5	Manganese	D008345	7439-96-5	ACHE	43	Rattus norvegicus	10116	30844427
7439-96-5	Manganese	D008345	7439-96-5	ACHE	43	Rattus norvegicus	10116	30844427
7439-96-5	Manganese	D008345	7439-96-5	ACHE	43	Rattus norvegicus	10116	24885898
7439-96-5	Manganese	D008345	7439-96-5	ACHE	43	Rattus norvegicus	10116	24885898
7439-96-5	Manganese	D008345	7439-96-5	ACO1	48	Homo sapiens	9606	16386771
7439-96-5	Manganese	D008345	7439-96-5	ACO1	48	Rattus norvegicus	10116	17469137
7439-96-5	Manganese	D008345	7439-96-5	ACO1	48	Rattus norvegicus	10116	16545456|16568477
7439-96-5	Manganese	D008345	7439-96-5	ACO1	48	Rattus norvegicus	10116	16729984
7439-96-5	Manganese	D008345	7439-96-5	ACO2	50	Homo sapiens	9606	16625280
7439-96-5	Manganese	D008345	7439-96-5	ACO2	50	Homo sapiens	9606	16625280
7439-96-5	Manganese	D008345	7439-96-5	ACO2	50	Homo sapiens	9606	16625280
7439-96-5	Manganese	D008345	7439-96-5	ACO2	50	Homo sapiens	9606	16625280
7439-96-5	Manganese	D008345	7439-96-5	ACO2	50	Rattus norvegicus	10116	9675333
7439-96-5	Manganese	D008345	7439-96-5	ACO2	50	Rattus norvegicus	10116	17469137|9675333
7439-96-5	Manganese	D008345	7439-96-5	ACTA1	58	Rattus norvegicus	10116	26745496
7439-96-5	Manganese	D008345	7439-96-5	ACTR3	10096	Rattus norvegicus	10116	24885898
7439-96-5	Manganese	D008345	7439-96-5	ADGRE1	2015	Rattus norvegicus	10116	20224926
7439-96-5	Manganese	D008345	7439-96-5	ADM	133	Homo sapiens	9606	17175027
7439-96-5	Manganese	D008345	7439-96-5	ADTRP	84830	Macaca fascicularis	9541	18284614
7439-96-5	Manganese	D008345	7439-96-5	AFP	174	Rattus norvegicus	10116	26745496
