X..Input	ChemicalName	ChemicalId	CasRN	GeneSymbol	GeneId	Organism	OrganismId	PubMedIds
7439-97-6	Mercury	D008628	7439-97-6	A1BG	1	Homo sapiens	9606	22030286
7439-97-6	Mercury	D008628	7439-97-6	A2M	2	Homo sapiens	9606	17547211
7439-97-6	Mercury	D008628	7439-97-6	ABCA1	19	Homo sapiens	9606	23920476
7439-97-6	Mercury	D008628	7439-97-6	ABCB1	5243	Corbicula fluminea	45949	15084411
7439-97-6	Mercury	D008628	7439-97-6	ABCB1	5243	Homo sapiens	9606	27262785
7439-97-6	Mercury	D008628	7439-97-6	ABCB1B	18669	Rattus norvegicus	10116	12730625
7439-97-6	Mercury	D008628	7439-97-6	ABCC1	4363	Canis lupus familiaris	9615	15590114
7439-97-6	Mercury	D008628	7439-97-6	ABCC1	4363	Canis lupus familiaris	9615	15590114
7439-97-6	Mercury	D008628	7439-97-6	ABCC1	4363	Canis lupus familiaris	9615	15590114
7439-97-6	Mercury	D008628	7439-97-6	ABCC1	4363	Homo sapiens	9606	27262785
7439-97-6	Mercury	D008628	7439-97-6	ABCC1	4363	Rattus norvegicus	10116	12730625
7439-97-6	Mercury	D008628	7439-97-6	ABCC1	4363	Rattus norvegicus	10116	12730625
7439-97-6	Mercury	D008628	7439-97-6	ABCC1	4363			16997801
7439-97-6	Mercury	D008628	7439-97-6	ABCC2	1244	Canis lupus familiaris	9615	15590114
7439-97-6	Mercury	D008628	7439-97-6	ABCC2	1244	Canis lupus familiaris	9615	15590114
7439-97-6	Mercury	D008628	7439-97-6	ABCC2	1244	Canis lupus familiaris	9615	15590114
7439-97-6	Mercury	D008628	7439-97-6	ABCC2	1244	Danio rerio	7955	21266201
7439-97-6	Mercury	D008628	7439-97-6	ABCC2	1244	Danio rerio	7955	21266201
7439-97-6	Mercury	D008628	7439-97-6	ABCC2	1244	Homo sapiens	9606	23052037|27262785
7439-97-6	Mercury	D008628	7439-97-6	ABCC2	1244	Homo sapiens	9606	21134393
7439-97-6	Mercury	D008628	7439-97-6	ABCC2	1244	Homo sapiens	9606	24039982
7439-97-6	Mercury	D008628	7439-97-6	ABCC2	1244	Homo sapiens	9606	24039982
7439-97-6	Mercury	D008628	7439-97-6	ABCC2	1244	Mus musculus	10090	25145654
7439-97-6	Mercury	D008628	7439-97-6	ABCC2	1244	Mus musculus	10090	25145654
7439-97-6	Mercury	D008628	7439-97-6	ABCC2	1244	Rattus norvegicus	10116	25145654
7439-97-6	Mercury	D008628	7439-97-6	ABCC2	1244	Rattus norvegicus	10116	23059061
7439-97-6	Mercury	D008628	7439-97-6	ABCC2	1244	Rattus norvegicus	10116	25145654
