X..Input	ChemicalName	ChemicalId	CasRN	GeneSymbol	GeneId	Organism	OrganismId	PubMedIds
99-76-3	methylparaben	C015358	99-76-3	AARS2	57505	Homo sapiens	9606	17121429
99-76-3	methylparaben	C015358	99-76-3	ACSL6	23305	Homo sapiens	9606	17121429
99-76-3	methylparaben	C015358	99-76-3	ALDH1A1	216	Homo sapiens	9606	27581495
99-76-3	methylparaben	C015358	99-76-3	ALDH1A2	8854	Mus musculus	10090	28927898
99-76-3	methylparaben	C015358	99-76-3	ALPL	249	Mus musculus	10090	28527915
99-76-3	methylparaben	C015358	99-76-3	ARHGAP9	64333	Homo sapiens	9606	17121429
99-76-3	methylparaben	C015358	99-76-3	ATM	472	Homo sapiens	9606	24481588
99-76-3	methylparaben	C015358	99-76-3	ATP5L	27425	Homo sapiens	9606	17121429
99-76-3	methylparaben	C015358	99-76-3	ATR	545	Homo sapiens	9606	24481588
99-76-3	methylparaben	C015358	99-76-3	BAX	581	Homo sapiens	9606	28382686
99-76-3	methylparaben	C015358	99-76-3	BCL2	596	Homo sapiens	9606	28382686
99-76-3	methylparaben	C015358	99-76-3	BCL2L1	598	Homo sapiens	9606	24481588
99-76-3	methylparaben	C015358	99-76-3	BCL2L1	598	Homo sapiens	9606	24481588
99-76-3	methylparaben	C015358	99-76-3	BCL2L11	10018	Homo sapiens	9606	24481588
99-76-3	methylparaben	C015358	99-76-3	BCL2L2	599	Homo sapiens	9606	24481588
99-76-3	methylparaben	C015358	99-76-3	BGLAP	632	Mus musculus	10090	28527915
99-76-3	methylparaben	C015358	99-76-3	BGLAP	632	Mus musculus	10090	28527915
99-76-3	methylparaben	C015358	99-76-3	BGLAP	632	Mus musculus	10090	28527915
99-76-3	methylparaben	C015358	99-76-3	CALB2	794	Homo sapiens	9606	17121429
99-76-3	methylparaben	C015358	99-76-3	CASP3	836	Homo sapiens	9606	28382686
99-76-3	methylparaben	C015358	99-76-3	CASP3	836	Homo sapiens	9606	28382686
