X..Input	ChemicalName	ChemicalId	CasRN	GeneSymbol	GeneId	Organism	OrganismId	PubMedIds
trans-nonachlor	nonachlor	C001870	3734-49-4	CAT	847	Rattus norvegicus	10116	28659405
trans-nonachlor	nonachlor	C001870	3734-49-4	CDH5	1003	Homo sapiens	9606	27616325
trans-nonachlor	nonachlor	C001870	3734-49-4	CDH5	1003	Homo sapiens	9606	27616325
trans-nonachlor	nonachlor	C001870	3734-49-4	CYP2B6	1555	Homo sapiens	9606	15548381
trans-nonachlor	nonachlor	C001870	3734-49-4	CYP3A4	1576	Homo sapiens	9606	15548381
trans-nonachlor	nonachlor	C001870	3734-49-4	EGF	1950	Homo sapiens	9606	29329451
trans-nonachlor	nonachlor	C001870	3734-49-4	EGF	1950	Homo sapiens	9606	29329451
trans-nonachlor	nonachlor	C001870	3734-49-4	EGF	1950	Homo sapiens	9606	29329451
trans-nonachlor	nonachlor	C001870	3734-49-4	EGF	1950	Homo sapiens	9606	29329451
trans-nonachlor	nonachlor	C001870	3734-49-4	EGFR	1956	Homo sapiens	9606	29329451
trans-nonachlor	nonachlor	C001870	3734-49-4	EGFR	1956	Homo sapiens	9606	29329451
trans-nonachlor	nonachlor	C001870	3734-49-4	EGFR	1956	Homo sapiens	9606	29329451
trans-nonachlor	nonachlor	C001870	3734-49-4	ESR1	2099	Alligator mississippiensis	8496	9118873
trans-nonachlor	nonachlor	C001870	3734-49-4	ESR1	2099	Gymnogyps californianus	33616	26372180
trans-nonachlor	nonachlor	C001870	3734-49-4	ESR1	2099	Homo sapiens	9606	16626760
trans-nonachlor	nonachlor	C001870	3734-49-4	ESR1	2099	Homo sapiens	9606	14579009
trans-nonachlor	nonachlor	C001870	3734-49-4	ESR1	2099	Homo sapiens	9606	14579009
trans-nonachlor	nonachlor	C001870	3734-49-4	ESR2	2100	Gymnogyps californianus	33616	26372180
trans-nonachlor	nonachlor	C001870	3734-49-4	ESR2	2100	Homo sapiens	9606	16626760
trans-nonachlor	nonachlor	C001870	3734-49-4	FASN	2194	Rattus norvegicus	10116	29964320
