X..Input	ChemicalName	ChemicalId	CasRN	GeneSymbol	GeneId	Organism	OrganismId	PubMedIds
perchlorate	perchlorate	C494474		ACTA1	58	Xenopus laevis	8355	17403546
perchlorate	perchlorate	C494474		ACTC1	70	Xenopus laevis	8355	17403546
perchlorate	perchlorate	C494474		ADAM11	4185	Xenopus laevis	8355	17403546
perchlorate	perchlorate	C494474		ADCYAP1R1	117	Xenopus laevis	8355	17403546
perchlorate	perchlorate	C494474		ADH4	127	Xenopus laevis	8355	17403546
perchlorate	perchlorate	C494474		ALDOC	230	Xenopus laevis	8355	17403546
perchlorate	perchlorate	C494474		APP	351	Xenopus laevis	8355	17403546
perchlorate	perchlorate	C494474		APP	351	Xenopus laevis	8355	17403546
perchlorate	perchlorate	C494474		AQP1	358	Rattus norvegicus	10116	21623536
perchlorate	perchlorate	C494474		ARG1	383	Xenopus laevis	8355	17403546
perchlorate	perchlorate	C494474		ARG1	383	Xenopus laevis	8355	17403546
perchlorate	perchlorate	C494474		ASL	435	Xenopus laevis	8355	17403546
perchlorate	perchlorate	C494474		ASNS	440	Xenopus laevis	8355	18801409
perchlorate	perchlorate	C494474		ATP2A1	487	Xenopus laevis	8355	17403546
perchlorate	perchlorate	C494474		BCL2L1	598	Xenopus laevis	8355	18801409
perchlorate	perchlorate	C494474		BETATUB56D	37238	Xenopus laevis	8355	17403546
perchlorate	perchlorate	C494474		BIRC5	332	Xenopus laevis	8355	17403546
perchlorate	perchlorate	C494474		BTG1	694	Xenopus laevis	8355	17403546
perchlorate	perchlorate	C494474		CA1	759	Homo sapiens	9606	15664814
perchlorate	perchlorate	C494474		CA2	760	Homo sapiens	9606	15664814
perchlorate	perchlorate	C494474		CA5A	763	Homo sapiens	9606	15664814
perchlorate	perchlorate	C494474		CA9	768	Homo sapiens	9606	15664814
perchlorate	perchlorate	C494474		CALB1	793	Xenopus laevis	8355	17403546
perchlorate	perchlorate	C494474		CAMK2B	816	Xenopus laevis	8355	17403546
perchlorate	perchlorate	C494474		CAMK2B	816	Xenopus laevis	8355	17403546
perchlorate	perchlorate	C494474		CASP1.L	397719	Xenopus laevis	8355	17403546
perchlorate	perchlorate	C494474		CASP1.L	397719	Xenopus laevis	8355	17403546
perchlorate	perchlorate	C494474		CASP3	836	Rattus norvegicus	10116	11834455
perchlorate	perchlorate	C494474		CASP3	836	Rattus norvegicus	10116	11834455
perchlorate	perchlorate	C494474		CASP3	836	Xenopus laevis	8355	17403546
perchlorate	perchlorate	C494474		CAT	847	Xenopus laevis	8355	18801409
perchlorate	perchlorate	C494474		CCNA1	8900	Xenopus laevis	8355	17403546
perchlorate	perchlorate	C494474		CCNA2	890	Xenopus laevis	8355	17403546
perchlorate	perchlorate	C494474		CCNE1.L	397840	Xenopus laevis	8355	17403546
perchlorate	perchlorate	C494474		CCNH	902	Xenopus laevis	8355	17403546
perchlorate	perchlorate	C494474		CCNH	902	Xenopus laevis	8355	17399805
perchlorate	perchlorate	C494474		CCT3	7203	Xenopus laevis	8355	17403546
perchlorate	perchlorate	C494474		CDK7	1022	Xenopus laevis	8355	17403546
perchlorate	perchlorate	C494474		CLCN3	1182	Xenopus laevis	8355	17403546
perchlorate	perchlorate	C494474		CLCN6	1185	Xenopus laevis	8355	17403546
perchlorate	perchlorate	C494474		CLDN6	9074	Xenopus laevis	8355	18801409
perchlorate	perchlorate	C494474		CNTN1	1272	Xenopus laevis	8355	17403546
perchlorate	perchlorate	C494474		COL1A2	1278	Xenopus laevis	8355	17403546
perchlorate	perchlorate	C494474		COL1A2	1278	Xenopus laevis	8355	17399805
perchlorate	perchlorate	C494474		COPA	1314	Xenopus laevis	8355	18801409
