X..Input	ChemicalName	ChemicalId	CasRN	GeneSymbol	GeneId	Organism	OrganismId	PubMedIds
94-13-3	propylparaben	C006068	94-13-3	A1CF	29974	Danio rerio	7955	29458080
94-13-3	propylparaben	C006068	94-13-3	A2ML	100006972	Danio rerio	7955	29458080
94-13-3	propylparaben	C006068	94-13-3	ABCA1B	100136868	Danio rerio	7955	29458080
94-13-3	propylparaben	C006068	94-13-3	ABCC2	1244	Danio rerio	7955	29458080
94-13-3	propylparaben	C006068	94-13-3	ABCC9	10060	Danio rerio	7955	29458080
94-13-3	propylparaben	C006068	94-13-3	ABLIM1B	541550	Danio rerio	7955	29458080
94-13-3	propylparaben	C006068	94-13-3	ABTB2A	559451	Danio rerio	7955	29458080
94-13-3	propylparaben	C006068	94-13-3	ACER1	125981	Danio rerio	7955	29458080
94-13-3	propylparaben	C006068	94-13-3	ACOT17	572757	Danio rerio	7955	29458080
94-13-3	propylparaben	C006068	94-13-3	ACOT18	556673	Danio rerio	7955	29458080
94-13-3	propylparaben	C006068	94-13-3	ACP5A	406801	Danio rerio	7955	29458080
94-13-3	propylparaben	C006068	94-13-3	ADAMTS10	81794	Danio rerio	7955	29458080
94-13-3	propylparaben	C006068	94-13-3	ADIPOQ	9370	Mus musculus	10090	22956630
94-13-3	propylparaben	C006068	94-13-3	AFP4	568707	Danio rerio	7955	29458080
94-13-3	propylparaben	C006068	94-13-3	AGT	183	Danio rerio	7955	29458080
94-13-3	propylparaben	C006068	94-13-3	AGXTB	79378	Danio rerio	7955	29458080
94-13-3	propylparaben	C006068	94-13-3	AKAP7	9465	Danio rerio	7955	29458080
94-13-3	propylparaben	C006068	94-13-3	AKR1A1A	445326	Danio rerio	7955	29458080
94-13-3	propylparaben	C006068	94-13-3	ALDH8A1	64577	Danio rerio	7955	29458080
94-13-3	propylparaben	C006068	94-13-3	ALDOB	229	Danio rerio	7955	29458080
94-13-3	propylparaben	C006068	94-13-3	AMBP	259	Danio rerio	7955	29458080
94-13-3	propylparaben	C006068	94-13-3	ANGPTL2A	569092	Danio rerio	7955	29458080
94-13-3	propylparaben	C006068	94-13-3	ANGPTL2B	503514	Danio rerio	7955	29458080
94-13-3	propylparaben	C006068	94-13-3	ANGPTL3	27329	Danio rerio	7955	29458080
94-13-3	propylparaben	C006068	94-13-3	ANGPTL5	253935	Danio rerio	7955	29458080
94-13-3	propylparaben	C006068	94-13-3	APAF1	317	Homo sapiens	9606	24481588
94-13-3	propylparaben	C006068	94-13-3	APOA1B	100101640	Danio rerio	7955	29458080
94-13-3	propylparaben	C006068	94-13-3	APOA2	336	Danio rerio	7955	29458080
94-13-3	propylparaben	C006068	94-13-3	APOA4	337	Danio rerio	7955	29458080
94-13-3	propylparaben	C006068	94-13-3	APOA4A	550608	Danio rerio	7955	29458080
94-13-3	propylparaben	C006068	94-13-3	APOA4B.1	322543	Danio rerio	7955	29458080
94-13-3	propylparaben	C006068	94-13-3	APOA4B.2	570354	Danio rerio	7955	29458080
94-13-3	propylparaben	C006068	94-13-3	APOA4B.3	100004607	Danio rerio	7955	29458080
94-13-3	propylparaben	C006068	94-13-3	APOBA	566465	Danio rerio	7955	29458080
94-13-3	propylparaben	C006068	94-13-3	APOBB.1	321166	Danio rerio	7955	29458080
94-13-3	propylparaben	C006068	94-13-3	APOC1	341	Danio rerio	7955	29458080
94-13-3	propylparaben	C006068	94-13-3	APOC2	344	Danio rerio	7955	29458080
94-13-3	propylparaben	C006068	94-13-3	APOEA	553587	Danio rerio	7955	29458080
94-13-3	propylparaben	C006068	94-13-3	APOM	55937	Danio rerio	7955	29458080
94-13-3	propylparaben	C006068	94-13-3	AQP11	282679	Danio rerio	7955	29458080
94-13-3	propylparaben	C006068	94-13-3	AQP12	208760	Danio rerio	7955	29458080
94-13-3	propylparaben	C006068	94-13-3	AR	367	Rattus norvegicus	10116	14565775|20371976
94-13-3	propylparaben	C006068	94-13-3	AR	367			20132345
94-13-3	propylparaben	C006068	94-13-3	AR	367			25349334
94-13-3	propylparaben	C006068	94-13-3	ARHGEF1A	368266	Danio rerio	7955	29458080
94-13-3	propylparaben	C006068	94-13-3	ARL3L1	393666	Danio rerio	7955	29458080
94-13-3	propylparaben	C006068	94-13-3	ARR3A	436678	Danio rerio	7955	29458080
