X..Input	ChemicalName	ChemicalId	CasRN	GeneSymbol	GeneId	Organism	OrganismId	PubMedIds
108-88-3	Toluene	D014050	108-88-3	5-HT1B	37191	Drosophila melanogaster	7227	28013218
108-88-3	Toluene	D014050	108-88-3	AADAT	51166	Rattus norvegicus	10116	22166486
108-88-3	Toluene	D014050	108-88-3	ABCA1	19	Rattus norvegicus	10116	18653662
108-88-3	Toluene	D014050	108-88-3	ABCA2	20	Rattus norvegicus	10116	18653662
108-88-3	Toluene	D014050	108-88-3	ABCB1	5243	Rattus norvegicus	10116	18653662
108-88-3	Toluene	D014050	108-88-3	ABCB1A	18671	Rattus norvegicus	10116	22967744
108-88-3	Toluene	D014050	108-88-3	ABCB1B	18669	Rattus norvegicus	10116	22967744
108-88-3	Toluene	D014050	108-88-3	ABCC1	4363	Rattus norvegicus	10116	18653662
108-88-3	Toluene	D014050	108-88-3	ABCC9	10060	Rattus norvegicus	10116	22967744
108-88-3	Toluene	D014050	108-88-3	ABCG2	9429	Rattus norvegicus	10116	18653662
108-88-3	Toluene	D014050	108-88-3	ABCG5	64240	Rattus norvegicus	10116	18653662
108-88-3	Toluene	D014050	108-88-3	ABCG8	64241	Rattus norvegicus	10116	18653662
108-88-3	Toluene	D014050	108-88-3	ABD-B	47763	Drosophila melanogaster	7227	28013218
108-88-3	Toluene	D014050	108-88-3	ACE	1636	Homo sapiens	9606	26018793
108-88-3	Toluene	D014050	108-88-3	ACE	1636	Homo sapiens	9606	26018793
108-88-3	Toluene	D014050	108-88-3	ACER2	340485	Rattus norvegicus	10116	22967744
108-88-3	Toluene	D014050	108-88-3	ACVR1	90	Rattus norvegicus	10116	22967744
108-88-3	Toluene	D014050	108-88-3	ACVRL1	94	Rattus norvegicus	10116	22967744
108-88-3	Toluene	D014050	108-88-3	ADCY3	109	Rattus norvegicus	10116	21827849
108-88-3	Toluene	D014050	108-88-3	ADGRE5	976	Rattus norvegicus	10116	22967744
108-88-3	Toluene	D014050	108-88-3	ADGRF5	221395	Rattus norvegicus	10116	22967744
108-88-3	Toluene	D014050	108-88-3	ADGRL4	64123	Rattus norvegicus	10116	22967744
108-88-3	Toluene	D014050	108-88-3	AFAP1	60312	Rattus norvegicus	10116	22967744
108-88-3	Toluene	D014050	108-88-3	AFAP1L1	134265	Rattus norvegicus	10116	22967744
108-88-3	Toluene	D014050	108-88-3	AFAP1L2	84632	Rattus norvegicus	10116	22967744
108-88-3	Toluene	D014050	108-88-3	AHNAK	79026	Rattus norvegicus	10116	22967744
108-88-3	Toluene	D014050	108-88-3	AHR	196	Rattus norvegicus	10116	18653662
108-88-3	Toluene	D014050	108-88-3	AIF1	199	Mus musculus	10090	21381054
108-88-3	Toluene	D014050	108-88-3	AIF1	199	Rattus norvegicus	10116	22967744
108-88-3	Toluene	D014050	108-88-3	AKR1C19	432720	Rattus norvegicus	10116	22967744
108-88-3	Toluene	D014050	108-88-3	AKR1CL	70861	Rattus norvegicus	10116	22967744
108-88-3	Toluene	D014050	108-88-3	AKR7A3	22977	Rattus norvegicus	10116	18653662
108-88-3	Toluene	D014050	108-88-3	ALB	213	Homo sapiens	9606	15895243
108-88-3	Toluene	D014050	108-88-3	ALB	213	Rattus norvegicus	10116	22967744
108-88-3	Toluene	D014050	108-88-3	ALCAM	214	Rattus norvegicus	10116	22967744
108-88-3	Toluene	D014050	108-88-3	ALDH1A1	216	Rattus norvegicus	10116	18653662
108-88-3	Toluene	D014050	108-88-3	ALDH1A4	100020791	Rattus norvegicus	10116	18653662
