X..Input	ChemicalName	ChemicalId	CasRN	GeneSymbol	GeneId	Organism	OrganismId	PubMedIds
7440-33-7	Tungsten	D014414	7440-33-7	AAK1	22848	Mus musculus	10090	30912803
7440-33-7	Tungsten	D014414	7440-33-7	AARS	234734	Mus musculus	10090	30912803
7440-33-7	Tungsten	D014414	7440-33-7	AASDHPPT	60496	Mus musculus	10090	30912803
7440-33-7	Tungsten	D014414	7440-33-7	ABCA3	21	Mus musculus	10090	30912803
7440-33-7	Tungsten	D014414	7440-33-7	ABCA7	10347	Mus musculus	10090	30912803
7440-33-7	Tungsten	D014414	7440-33-7	ABCB4	5244	Mus musculus	10090	30912803
7440-33-7	Tungsten	D014414	7440-33-7	ABCF1	23	Mus musculus	10090	30912803
7440-33-7	Tungsten	D014414	7440-33-7	ABHD14A	25864	Mus musculus	10090	30912803
7440-33-7	Tungsten	D014414	7440-33-7	ABHD17A	81926	Mus musculus	10090	30912803
7440-33-7	Tungsten	D014414	7440-33-7	ABL1	25	Mus musculus	10090	30912803
7440-33-7	Tungsten	D014414	7440-33-7	ABL2	27	Mus musculus	10090	30912803
7440-33-7	Tungsten	D014414	7440-33-7	ABLIM1	3983	Mus musculus	10090	30912803
7440-33-7	Tungsten	D014414	7440-33-7	ABR	29	Mus musculus	10090	30912803
7440-33-7	Tungsten	D014414	7440-33-7	ABRACL	58527	Mus musculus	10090	30912803
7440-33-7	Tungsten	D014414	7440-33-7	ACADSB	36	Mus musculus	10090	30912803
7440-33-7	Tungsten	D014414	7440-33-7	ACAT3	224530	Mus musculus	10090	30912803
7440-33-7	Tungsten	D014414	7440-33-7	ACBD6	84320	Mus musculus	10090	30912803
7440-33-7	Tungsten	D014414	7440-33-7	ACIN1	22985	Mus musculus	10090	30912803
7440-33-7	Tungsten	D014414	7440-33-7	ACN9	100168165	Mus musculus	10090	30912803
7440-33-7	Tungsten	D014414	7440-33-7	ACOT8	10005	Mus musculus	10090	30912803
7440-33-7	Tungsten	D014414	7440-33-7	ACSF2	80221	Mus musculus	10090	30912803
7440-33-7	Tungsten	D014414	7440-33-7	ACSL1	2180	Mus musculus	10090	30912803
7440-33-7	Tungsten	D014414	7440-33-7	ACTN4	81	Mus musculus	10090	30912803
7440-33-7	Tungsten	D014414	7440-33-7	ACTR6	64431	Mus musculus	10090	30912803
7440-33-7	Tungsten	D014414	7440-33-7	ACYP1	97	Mus musculus	10090	30912803
7440-33-7	Tungsten	D014414	7440-33-7	ADAM19	8728	Mus musculus	10090	30912803
7440-33-7	Tungsten	D014414	7440-33-7	ADAR	103	Mus musculus	10090	30912803
7440-33-7	Tungsten	D014414	7440-33-7	ADGRG1	9289	Mus musculus	10090	30912803
7440-33-7	Tungsten	D014414	7440-33-7	ADIPOQ	9370	Mus musculus	10090	26865663
7440-33-7	Tungsten	D014414	7440-33-7	ADIPOQ	9370	Mus musculus	10090	26865663
7440-33-7	Tungsten	D014414	7440-33-7	ADK	132	Mus musculus	10090	30912803
7440-33-7	Tungsten	D014414	7440-33-7	ADPGK	83440	Mus musculus	10090	30912803
7440-33-7	Tungsten	D014414	7440-33-7	ADRB2	154	Mus musculus	10090	30912803
7440-33-7	Tungsten	D014414	7440-33-7	AEBP2	121536	Mus musculus	10090	30912803
7440-33-7	Tungsten	D014414	7440-33-7	AFF1	4299	Mus musculus	10090	30912803
7440-33-7	Tungsten	D014414	7440-33-7	AFF3	3899	Mus musculus	10090	30912803
7440-33-7	Tungsten	D014414	7440-33-7	AFF4	27125	Mus musculus	10090	30912803
7440-33-7	Tungsten	D014414	7440-33-7	AGBL5	60509	Mus musculus	10090	30912803
7440-33-7	Tungsten	D014414	7440-33-7	AGK	55750	Mus musculus	10090	30912803
7440-33-7	Tungsten	D014414	7440-33-7	AGO1	26523	Mus musculus	10090	30912803
7440-33-7	Tungsten	D014414	7440-33-7	AGO2	27161	Mus musculus	10090	30912803
7440-33-7	Tungsten	D014414	7440-33-7	AGPAT5	55326	Mus musculus	10090	30912803
7440-33-7	Tungsten	D014414	7440-33-7	AHCTF1	25909	Mus musculus	10090	30912803
7440-33-7	Tungsten	D014414	7440-33-7	AHCY	191	Mus musculus	10090	30912803
7440-33-7	Tungsten	D014414	7440-33-7	AHDC1	27245	Mus musculus	10090	30912803
7440-33-7	Tungsten	D014414	7440-33-7	AHSA2	268390	Mus musculus	10090	30912803
7440-33-7	Tungsten	D014414	7440-33-7	AIM1	421783	Mus musculus	10090	30912803
7440-33-7	Tungsten	D014414	7440-33-7	AIMP1	9255	Mus musculus	10090	30912803
7440-33-7	Tungsten	D014414	7440-33-7	AK6	102157402	Mus musculus	10090	30912803
7440-33-7	Tungsten	D014414	7440-33-7	AKAP11	11215	Mus musculus	10090	30912803
7440-33-7	Tungsten	D014414	7440-33-7	AKAP12	9590	Mus musculus	10090	30912803
7440-33-7	Tungsten	D014414	7440-33-7	AKAP13	11214	Mus musculus	10090	30912803
7440-33-7	Tungsten	D014414	7440-33-7	AKAP17B	338351	Mus musculus	10090	30912803
7440-33-7	Tungsten	D014414	7440-33-7	AKNA	80709	Mus musculus	10090	30912803
7440-33-7	Tungsten	D014414	7440-33-7	ALAS2	212	Mus musculus	10090	30912803
7440-33-7	Tungsten	D014414	7440-33-7	ALB	213	Bos taurus	9913	1314387
7440-33-7	Tungsten	D014414	7440-33-7	ALG5	29880	Mus musculus	10090	30912803
7440-33-7	Tungsten	D014414	7440-33-7	ALOX5AP	241	Mus musculus	10090	30912803
7440-33-7	Tungsten	D014414	7440-33-7	ALPL	249	Mus musculus	10090	30912803
7440-33-7	Tungsten	D014414	7440-33-7	AMBRA1	55626	Mus musculus	10090	30912803
7440-33-7	Tungsten	D014414	7440-33-7	AMDHD2	51005	Mus musculus	10090	30912803
7440-33-7	Tungsten	D014414	7440-33-7	AMMECR1	9949	Mus musculus	10090	30912803
7440-33-7	Tungsten	D014414	7440-33-7	ANAPC10	10393	Mus musculus	10090	30912803
7440-33-7	Tungsten	D014414	7440-33-7	ANAPC13	25847	Mus musculus	10090	30912803
7440-33-7	Tungsten	D014414	7440-33-7	ANKHD1	54882	Mus musculus	10090	30912803
7440-33-7	Tungsten	D014414	7440-33-7	ANKLE2	23141	Mus musculus	10090	30912803
7440-33-7	Tungsten	D014414	7440-33-7	ANKRD10	55608	Mus musculus	10090	30912803
7440-33-7	Tungsten	D014414	7440-33-7	ANKRD17	26057	Mus musculus	10090	30912803
7440-33-7	Tungsten	D014414	7440-33-7	ANKRD27	84079	Mus musculus	10090	30912803
7440-33-7	Tungsten	D014414	7440-33-7	ANKRD28	23243	Mus musculus	10090	30912803
7440-33-7	Tungsten	D014414	7440-33-7	ANKRD33B	651746	Mus musculus	10090	30912803
7440-33-7	Tungsten	D014414	7440-33-7	ANKRD44	91526	Mus musculus	10090	30912803
7440-33-7	Tungsten	D014414	7440-33-7	ANKRD52	283373	Mus musculus	10090	30912803
7440-33-7	Tungsten	D014414	7440-33-7	ANKRD9	122416	Mus musculus	10090	30912803
