X..Input	ChemicalName	ChemicalId	CasRN	GeneSymbol	GeneId	Organism	OrganismId	PubMedIds
7440-61-1	Uranium	D014501	7440-61-1	AADAT	51166	Homo sapiens	9606	15672453
7440-61-1	Uranium	D014501	7440-61-1	AANAT	15	Homo sapiens	9606	15672453
7440-61-1	Uranium	D014501	7440-61-1	AASDHPPT	60496	Homo sapiens	9606	15672453
7440-61-1	Uranium	D014501	7440-61-1	ABCC2	1244	Rattus norvegicus	10116	17126469
7440-61-1	Uranium	D014501	7440-61-1	ABCC2	1244	Rattus norvegicus	10116	17126469
7440-61-1	Uranium	D014501	7440-61-1	ABCC8	6833	Homo sapiens	9606	15672453
7440-61-1	Uranium	D014501	7440-61-1	ABCF2	10061	Homo sapiens	9606	15672453
7440-61-1	Uranium	D014501	7440-61-1	ACAT2	39	Homo sapiens	9606	15672453
7440-61-1	Uranium	D014501	7440-61-1	ACP5	54	Rattus norvegicus	10116	29477364
7440-61-1	Uranium	D014501	7440-61-1	ACP5	54	Rattus norvegicus	10116	16436523
7440-61-1	Uranium	D014501	7440-61-1	ACP5	54	Rattus norvegicus	10116	29477364
7440-61-1	Uranium	D014501	7440-61-1	ACTB	60	Homo sapiens	9606	15672453
7440-61-1	Uranium	D014501	7440-61-1	ACTB	60	Homo sapiens	9606	15672453
7440-61-1	Uranium	D014501	7440-61-1	ACTR2	10097	Homo sapiens	9606	15672453
7440-61-1	Uranium	D014501	7440-61-1	ADAR	103	Homo sapiens	9606	15672453
7440-61-1	Uranium	D014501	7440-61-1	ADNP	23394	Homo sapiens	9606	15672453
7440-61-1	Uranium	D014501	7440-61-1	AKAP1	8165	Homo sapiens	9606	15672453
7440-61-1	Uranium	D014501	7440-61-1	AKIRIN1	79647	Homo sapiens	9606	15672453
7440-61-1	Uranium	D014501	7440-61-1	AKR1C3	8644	Homo sapiens	9606	15672453
7440-61-1	Uranium	D014501	7440-61-1	ALPL	249	Rattus norvegicus	10116	29477364
7440-61-1	Uranium	D014501	7440-61-1	ALPL	249	Rattus norvegicus	10116	29477364
7440-61-1	Uranium	D014501	7440-61-1	APBB1	322	Homo sapiens	9606	15672453
7440-61-1	Uranium	D014501	7440-61-1	APC	324	Homo sapiens	9606	15672453
7440-61-1	Uranium	D014501	7440-61-1	APP	351	Homo sapiens	9606	15672453
7440-61-1	Uranium	D014501	7440-61-1	APPL1	26060	Homo sapiens	9606	15672453
7440-61-1	Uranium	D014501	7440-61-1	AR	367	Rattus norvegicus	10116	27544493
7440-61-1	Uranium	D014501	7440-61-1	ARMC9	80210	Homo sapiens	9606	15672453
7440-61-1	Uranium	D014501	7440-61-1	ASAP2	8853	Homo sapiens	9606	15672453
7440-61-1	Uranium	D014501	7440-61-1	ASCL1	429	Rattus norvegicus	10116	27639536
7440-61-1	Uranium	D014501	7440-61-1	ATP6V1A	523	Homo sapiens	9606	15672453
