,GeneID,Symbol
1,2233,1-Feb
2,2234,2-Feb
3,619398,5-Feb
4,619397,6-Feb
5,100049160,7-Feb
6,100188849,9-Feb
7,100271923,10-Feb
8,1,A1BG
9,503538,A1BG-AS1
10,29974,A1CF
11,2,A2M
12,144571,A2M-AS1
13,144568,A2ML1
14,100874108,A2ML1-AS1
15,106478979,A2ML1-AS2
16,3,A2MP1
17,127550,A3GALT2
18,53947,A4GALT
19,51146,A4GNT
20,100329167,AAA1
21,100505390,AAA2
22,100188857,AAA3
23,100859927,AAA4
24,8086,AAAS
25,8212,AABT
26,65985,AACS
27,729522,AACSP1
28,13,AADAC
29,344752,AADACL2
30,101928142,AADACL2-AS1
31,126767,AADACL3
32,343066,AADACL4
33,201651,AADACP1
34,51166,AADAT
35,79719,AAGAB
36,22848,AAK1
37,28971,AAMDC
38,14,AAMP
39,15,AANAT
40,25980,AAR2
41,441376,AARD
42,16,AARS1
43,106480683,AARS1P1
44,57505,AARS2
45,80755,AARSD1
46,132949,AASDH
47,60496,AASDHPPT
48,10157,AASS
49,252842,AAT1
50,252843,AAT2
51,284837,AATBC
52,26574,AATF
53,9625,AATK
54,17,AAVS1
55,103021294,ABALON
56,18,ABAT
57,19,ABCA1
58,10349,ABCA10
59,79963,ABCA11P
60,26154,ABCA12
61,154664,ABCA13
62,650655,ABCA17P
63,20,ABCA2
64,21,ABCA3
65,24,ABCA4
66,23461,ABCA5
67,23460,ABCA6
68,10347,ABCA7
69,10351,ABCA8
70,10350,ABCA9
71,104355297,ABCA9-AS1
72,5243,ABCB1
73,23456,ABCB10
74,56476,ABCB10P1
75,728248,ABCB10P3
76,100132289,ABCB10P4
77,8647,ABCB11
78,5244,ABCB4
79,340273,ABCB5
80,10058,ABCB6
81,22,ABCB7
82,11194,ABCB8
83,23457,ABCB9
84,4363,ABCC1
85,89845,ABCC10
86,85320,ABCC11
87,94160,ABCC12
88,150000,ABCC13
89,1244,ABCC2
90,8714,ABCC3
91,10257,ABCC4
92,10057,ABCC5
93,100873982,ABCC5-AS1
94,368,ABCC6
95,653190,ABCC6P1
96,730013,ABCC6P2
97,6833,ABCC8
98,10060,ABCC9
99,215,ABCD1
100,23785,ABCD1P1
101,26983,ABCD1P2
102,26982,ABCD1P3
103,26957,ABCD1P4
104,642762,ABCD1P5
105,225,ABCD2
106,5825,ABCD3
107,5826,ABCD4
108,6059,ABCE1
109,23,ABCF1
110,107986587,ABCF1-DT
111,10061,ABCF2
112,114483834,ABCF2-H2BE1
113,344653,ABCF2P1
114,100422059,ABCF2P2
115,55324,ABCF3
116,9619,ABCG1
117,9429,ABCG2
118,64137,ABCG4
119,64240,ABCG5
120,64241,ABCG8
121,84696,ABHD1
122,55347,ABHD10
123,83451,ABHD11
124,171022,ABHD11-AS1
125,26090,ABHD12
126,145447,ABHD12B
127,84945,ABHD13
128,25864,ABHD14A
129,100526760,ABHD14A-ACY1
130,84836,ABHD14B
131,116236,ABHD15
132,104355133,ABHD15-AS1
133,7920,ABHD16A
134,140701,ABHD16B
135,81926,ABHD17A
136,728917,ABHD17AP1
137,648359,ABHD17AP3
138,729495,ABHD17AP4
139,91219,ABHD17AP5
140,644988,ABHD17AP6
141,100133212,ABHD17AP7
142,647144,ABHD17AP8
143,100132251,ABHD17AP9
144,51104,ABHD17B
145,58489,ABHD17C
146,80167,ABHD18
147,11057,ABHD2
148,171586,ABHD3
149,63874,ABHD4
150,51099,ABHD5
151,57406,ABHD6
152,79575,ABHD8
153,10006,ABI1
154,326268,ABI1P1
155,10152,ABI2
156,51225,ABI3
157,25890,ABI3BP
158,54942,ABITRAM
159,390403,ABITRAMP1
160,25,ABL1
161,27,ABL2
162,3983,ABLIM1
163,84448,ABLIM2
164,22885,ABLIM3
165,28,ABO
166,29,ABR
167,137735,ABRA
168,58527,ABRACL
169,84142,ABRAXAS1
170,23172,ABRAXAS2
171,29777,ABT1
172,100420695,ABT1P1
173,80325,ABTB1
174,25841,ABTB2
175,30,ACAA1
176,10449,ACAA2
177,31,ACACA
178,32,ACACB
179,80724,ACAD10
180,84129,ACAD11
181,27034,ACAD8
182,28976,ACAD9
183,33,ACADL
184,34,ACADM
185,35,ACADS
186,36,ACADSB
187,37,ACADVL
188,176,ACAN
189,9744,ACAP1
190,23527,ACAP2
191,100874306,ACAP2-IT1
192,116983,ACAP3
193,38,ACAT1
194,39,ACAT2
195,64746,ACBD3
196,107985353,ACBD3-AS1
197,79777,ACBD4
198,91452,ACBD5
199,84320,ACBD6
200,414149,ACBD7
201,108949267,ACBD7-DCLRE1CP1
202,84680,ACCS
203,390110,ACCSL
204,65057,ACD
205,1636,ACE
206,59272,ACE2
207,100129123,ACE3P
208,125981,ACER1
209,340485,ACER2
210,645978,ACER2P1
211,55331,ACER3
212,387569,ACF
213,43,ACHE
214,22985,ACIN1
215,2532,ACKR1
216,1238,ACKR2
217,57007,ACKR3
218,51554,ACKR4
219,285737,ACKR4P1
220,46,ACLS
221,47,ACLY
222,130013,ACMSD
223,347275,ACNATP
224,48,ACO1
225,50,ACO2
226,730249,ACOD1
227,641371,ACOT1
228,26027,ACOT11
229,134526,ACOT12
230,55856,ACOT13
231,10965,ACOT2
232,122970,ACOT4
233,641372,ACOT6
234,11332,ACOT7
235,10005,ACOT8
236,23597,ACOT9
237,51,ACOX1
238,8309,ACOX2
239,8310,ACOX3
240,55289,ACOXL
241,400997,ACOXL-AS1
242,52,ACP1
243,53,ACP2
244,55,ACP3
245,93650,ACP4
246,54,ACP5
247,51205,ACP6
248,390928,ACP7
249,49,ACR
250,84519,ACRBP
251,645529,ACRP1
252,85505,ACRPS
253,414058,ACRPV
254,56,ACRV1
255,23205,ACSBG1
256,81616,ACSBG2
257,80221,ACSF2
258,197322,ACSF3
259,2180,ACSL1
260,2181,ACSL3
261,105373904,ACSL3-AS1
262,2182,ACSL4
263,51703,ACSL5
264,23305,ACSL6
265,101927693,ACSL6-AS1
266,116285,ACSM1
267,123876,ACSM2A
268,348158,ACSM2B
269,6296,ACSM3
270,341392,ACSM4
271,54988,ACSM5
272,100421779,ACSM5P1
273,142827,ACSM6
274,84532,ACSS1
275,55902,ACSS2
276,79611,ACSS3
277,58,ACTA1
278,59,ACTA2
279,100132116,ACTA2-AS1
280,60,ACTB
281,345651,ACTBL2
282,643309,ACTBP1
283,446207,ACTBP10
284,644220,ACTBP11
285,100462767,ACTBP12
286,389120,ACTBP13
287,389976,ACTBP14
288,62,ACTBP2
289,63,ACTBP3
290,64,ACTBP4
291,66,ACTBP6
292,67,ACTBP7
293,68,ACTBP8
294,69,ACTBP9
295,70,ACTC1
296,780896,ACTD
297,399923,ACTE1P
298,71,ACTG1
299,73,ACTG1P1
300,83,ACTG1P10
301,414754,ACTG1P11
302,100418921,ACTG1P12
303,100418920,ACTG1P13
304,100418910,ACTG1P14
305,100418951,ACTG1P15
306,100418960,ACTG1P16
307,283693,ACTG1P17
308,100418924,ACTG1P18
309,644160,ACTG1P19
310,74,ACTG1P2
311,644961,ACTG1P20
312,100131291,ACTG1P21
313,100131953,ACTG1P22
314,442097,ACTG1P23
315,441783,ACTG1P24
316,148709,ACTG1P25
317,75,ACTG1P3
318,648740,ACTG1P4
319,78,ACTG1P6
320,79,ACTG1P7
321,80,ACTG1P8
322,82,ACTG1P9
