,GeneID,Symbol
1,27777,03B03F
2,27778,03B03R
3,53288,03.MMHAP34FRA.SEQ
4,56573,102G4T7
5,53159,106I22-SP6
6,56574,109F12R
7,27451,10S
8,27460,10T
9,56591,116M19SP6
10,56582,116M19T7
11,27841,119L04AR
12,27808,119L04F
13,27479,11S
14,27477,11T
15,53123,121D10L
16,27486,12T
17,27817,133J02F
18,27813,133J02R
19,56583,137H23T7
20,53156,138D12-SP6
21,110442,13.MMHAP42FLE1
22,56570,14C5SP6
23,56567,14C5T7
24,56575,156L3T7
25,27453,15S
26,27457,15T
27,53098,162C8A2
28,53139,167C5-T7
29,79203,167L17-T7
30,53300,16.MMHAP64FLF1.SEQ
31,27471,16S
32,27469,16T
33,666214,1700049E17RIK1
34,100041722,1700049E17RIK2
35,56592,170N17SP6
36,56584,170N17T7
37,56593,174G24SP6
38,53163,175N10-SP6
39,56594,177I23SP6
40,27462,17F4L
41,27495,17F4R
42,56595,184A16SP6
43,53160,187C10-SP6
44,52982,18E
45,53061,195G2B
46,27765,196D11.T7
47,53162,199O21-SP6
48,53146,199O21-T7
49,53164,1F8F121092
50,52977,1H9
51,52937,1L
52,27450,1S
53,27448,1T
54,53296,200C3
55,56568,200H7R
56,53287,2.01E+11
57,56596,204D20SP6
58,110456,20.MMHAP88FLG2
59,27475,20S
60,27476,20T
61,27741,210N7.T7
62,27826,211N06F
63,27823,211N06R
64,53137,220N3-T7
65,27503,222B5S
66,27504,222B5T
67,53091,232B10C
68,53092,232B10D
69,53093,232B10F
70,53167,232B10HYACC
71,53307,235M8.SP6
72,53305,235M8.T7
73,53158,236K12-SP6
74,53148,236M16SP6
75,56597,236M20SP6
76,56585,236M20T7
77,53306,23H6SC34
78,27740,23H6.SP6
79,27697,23H6.T7
80,53166,23.MHAA89F11.SEQ
81,56598,240C11SP6
82,56586,240C11T7
83,56588,242D11L2
84,27738,245A8.T7
85,56599,247D24SP6
86,27739,254L6.T7
87,53150,256F23-T7
88,27814,256O10F
89,27816,256O10R
90,72139,2610044O15RIK8
91,27522,268M14S
92,27521,272I21T
93,27766,273G21.T7
94,53136,274M9-T7
95,53165,277I15-SP6
96,53152,277I15-T7
97,53147,279P18SP6
98,72716,2810047C21RIK1
99,100042795,2810047C21RIK2
100,56589,282H8SP6
101,53135,283N3-T7
102,56600,291H24SP6
103,276712,293M16.R
104,27767,295F16.T7
105,27485,29S
106,27470,29T
107,52979,2B9
108,53157,2C4D6HYACC
109,53161,2C8B2-1092
110,52936,2E
111,56590,301L2SP6
112,27805,303E12F
113,27807,303E12R
114,27812,304D23F
115,27811,304D23R
116,27698,30B5.T7
117,117568,30.MMHAP16FRB12
118,84568,31.MMHAP38FLC4
119,110443,31.MMHAP64FLC4
120,53309,332I15.SP6
121,27768,332I15.T7
122,276713,333P17.R
123,27827,335F15F
124,27828,335F15R
125,27818,349F04F
126,27820,349F04R
127,27810,358A17R
128,79204,363K16-SP6
129,53151,363O12-T7
130,53301,380N16T7
131,53303,386N23T7
132,276714,389D19.R
133,27772,38B16F
134,27773,38B16R
135,53181,38.MMHAP67FLE5.SEQ
136,27455,38T
137,27815,391O16F
138,27819,391O16R
139,52978,3A4
140,53230,3B1
141,52996,3B11
142,52981,3F1
143,27498,3P18S
144,27497,3P18T
145,27463,3S
146,27464,3T
147,53141,401E9SP6
148,117567,40.MMHAP76FLF4
149,53294,410O9T7
150,53304,412I12
151,53297,41D19
152,53084,42F4-T7
153,27771,42J20F
154,27770,42J20R
155,27478,42S
156,27466,42T
157,53293,433B7T7
158,56577,43F9SP6
159,56576,446O7T7
160,53224,44.MHAA42H8.SEQ
161,27456,44S
162,53001,45K20
163,27468,45S
164,56601,463O20SP6
165,276715,469O12.R
166,53088,46O1-T7
167,53291,475D1T7
168,327901,4831410D14
169,27473,48T
170,212241,4930579K21
171,224662,4932407I05
172,27804,502H20F
173,27806,502H20R
174,27824,504N12F
175,27821,504N12R
176,27472,51S
177,27474,51T
178,53290,524K7T7
179,56565,52A6L
180,27483,52S
181,27482,52T
182,53292,538C3T7
183,27452,53S
184,27454,53T
185,53298,55D13
186,53302,561O14T7
187,27822,565I03F
188,27809,565I03R
189,27789,565M12F
190,27825,567C18F
191,53094,56G1SP6
192,27459,56S
193,27484,56T
194,27505,573K1S
195,27506,573K1T
196,53149,579J12SP6
197,27779,57K16F
198,27781,57K16R
199,53138,59K2-SP6
200,53100,59K2-T7
201,53060,5N7-T7
202,53299,5SP6
203,53145,612L16SP6
204,53289,630D9T7
205,27461,63G5L
206,53140,63N19-T7
207,53295,645M6T7
208,56571,65M5F9R
209,56581,66M4E12R
210,53168,6C13F9-1092
211,53170,6D12H11-1092
212,27467,78A11L
213,27481,78A11R
214,56572,87M6F7R
215,56566,8K10T7
216,52935,8L
217,27465,8S
218,27449,8T
219,53097,90K2-T7
220,100035663,917M
221,53031,91E7R
222,27480,91G12L
223,27782,92N10F
224,27780,92N10R
225,329759,9330210C06
226,27774,94B16F
227,27776,94B16R
228,667214,9930111J21RIK1
229,245240,9930111J21RIK2
230,50518,A
231,53117,A007110
232,223869,A130012F09
233,1,A1BG
234,29974,A1CF
235,622251,A26C2
236,67575,A26C3
237,2,A2M
238,144568,A2ML1
239,327857,A330087I24
240,127550,A3GALT2
241,330132,A430057O09
242,53947,A4GALT
243,51146,A4GNT
244,329696,A630076J08
245,330150,A830011I04
246,8086,AAAS
247,100036240,AABPR
248,65985,AACS
249,13,AADAC
250,344752,AADACL2
251,229333,AADACL2FM1
252,433597,AADACL2FM2
253,666803,AADACL2FM3
254,126767,AADACL3
255,343066,AADACL4
256,381572,AADACL4FM1
257,627085,AADACL4FM2
258,546849,AADACL4FM3
259,230890,AADACL4FM4
260,329993,AADACL4FM5
261,51166,AADAT
263,79719,AAGAB
264,112131,AAIQ1
265,112132,AAIQ2
266,109413,AAIQ3
267,109414,AAIQ4
268,100035127,AAJ1
269,100035618,AAJ2
270,100035128,AAJ3
271,100035619,AAJ4
272,22848,AAK1
273,104236,AAL
274,28971,AAMDC
275,14,AAMP
276,15,AANAT
277,100035762,AAOM1
278,107417,AAP
279,112133,AAQ1
280,116538,AAQ2
281,25980,AAR2
