,GeneID,CTD
1202,369129,Apr1
1203,369131,Apr2
1204,369133,Apr3
1205,387423,Apr4
1206,387424,Apr5
1207,387425,Apr6
1,415055,2310EX4-5
2,415058,2331EX4-5
3,415060,2361EX4-5
4,414989,2458A2
5,414990,2461A1A2
6,414991,2463A1A2
7,414992,2464A1
8,415010,2509A1
9,415016,2539A1A2
10,415018,2543A1
11,415022,2600A1A2
12,415024,2609A1A2
14,415028,2619A1_PS2
13,415027,2619A1-PS1
15,415029,2641A1
16,415031,2646A1A2
17,415033,2661A1A2
18,415034,2664A1
19,415036,2669A1
20,415038,2673A1A2
21,415041,2683A1
22,415042,2690A1-A1A2
23,415043,2702A1
24,415044,2705A1
25,415047,2715A1
26,415049,2722A1A2
27,414860,2743A1
28,414861,2747A1A2
29,414862,2759A1
30,414864,2764A1
31,414866,2768A1A2
32,414869,2781A1
33,414935,2788A1A2
34,414936,2795A1
35,414938,2800A1A2
36,414940,2812A1A2
37,414941,2824A1
38,414943,2829A1A2
39,414946,2846A1A2
40,414947,2860A1
41,414949,2865A2
42,414951,2869A1A2
43,414954,2879A1
44,414955,2886A1-A1A2
45,414957,2901A1A2
46,414959,2906A1
47,414960,2920A1A2
48,414961,2927A1
49,414964,2941A1A2
50,414966,2945A1A2
51,414968,2950A1
52,414969,2953A1A2
53,414970,2959A1
54,414971,2976A1
55,414973,2981A1A2
56,414975,2984A1A2
57,414978,2994A1
58,414806,3082EX4-5
59,414814,3252A3
60,414815,3258A2
61,414816,3281A3
62,414818,3298A3
64,1,A1BG
65,29974,A1CF
66,622251,A26C2
67,2,A2M
68,144568,A2ML1
69,127550,A3GALT2
70,53947,A4GALT
71,51146,A4GNT
72,8086,AAAS
73,65985,AACS
74,13,AADAC
75,344752,AADACL2
76,126767,AADACL3
77,343066,AADACL4
78,51166,AADAT
79,79719,AAGAB
80,22848,AAK1
81,28971,AAMDC
82,14,AAMP
83,15,AANAT
84,25980,AAR2
85,441376,AARD
86,234734,AARS
87,57505,AARS2
88,80755,AARSD1
89,132949,AASDH
90,60496,AASDHPPT
91,10157,AASS
93,26574,AATF
94,9625,AATK
95,18,ABAT
96,19,ABCA1
97,26154,ABCA12
98,154664,ABCA13
99,67928,ABCA14
100,320631,ABCA15
101,233810,ABCA16
102,381072,ABCA17
103,20,ABCA2
104,21,ABCA3
105,24,ABCA4
106,23461,ABCA5
107,23460,ABCA6
108,10347,ABCA7
109,10351,ABCA8
110,217258,ABCA8A
112,10350,ABCA9
114,23456,ABCB10
115,8647,ABCB11
116,18671,ABCB1A
117,18669,ABCB1B
118,5244,ABCB4
119,340273,ABCB5
120,10058,ABCB6
121,22,ABCB7
122,11194,ABCB8
123,23457,ABCB9
124,4363,ABCC1
125,89845,ABCC10
126,94160,ABCC12
127,1244,ABCC2
128,8714,ABCC3
129,10257,ABCC4
130,10057,ABCC5
131,368,ABCC6
132,6833,ABCC8
133,10060,ABCC9
134,215,ABCD1
135,225,ABCD2
136,5825,ABCD3
137,5826,ABCD4
138,6059,ABCE1
139,23,ABCF1
140,10061,ABCF2
141,55324,ABCF3
142,9619,ABCG1
143,9429,ABCG2
144,27405,ABCG3
145,289453,ABCG3L1
146,360910,ABCG3L2
147,305142,ABCG3L3
148,360997,ABCG3L4
149,64137,ABCG4
150,64240,ABCG5
151,64241,ABCG8
152,100035917,ABFW1
153,100035224,ABFW2
154,100035645,ABFW3
155,100035225,ABFW4
156,100036192,ABFW5
157,100036330,ABFW6
158,103752560,ABFW7
159,103752561,ABFW8
160,84696,ABHD1
161,55347,ABHD10
162,83451,ABHD11
163,171022,ABHD11-AS1
165,26090,ABHD12
166,145447,ABHD12B
167,84945,ABHD13
