Gene symbol	Gene name	Accession DB	Accession ID
03B03F	"DNA segment, 03B03F (Research Genetics)"		27777
03B03R	"DNA segment, 03B03R (Research Genetics)"		27778
03.MMHAP34FRA.SEQ	"DNA segment, 03.MMHAP34FRA.seq"		53288
102G4T7	"DNA segment, 102g4T7"		56573
106I22-SP6	"DNA segment, 106I22-Sp6"		53159
109F12R	"DNA segment, 102F12R"		56574
10S	"DNA segment, 10S"		27451
10T	"DNA segment, 10T"		27460
116M19SP6	"DNA segment, 116m19Sp6"		56591
116M19T7	"DNA segment, 116m19T7"		56582
119L04AR	"DNA segment, 119L04aR (Research Genetics)"		27841
119L04F	"DNA segment, 119L04F (Research Genetics)"		27808
11S	"DNA segment, 11S"		27479
11T	"DNA segment, 11T"		27477
121D10L	"DNA segment, 121D10L"		53123
12T	"DNA segment, 12T"		27486
133J02F	"DNA segment, 133J02F (Research Genetics)"		27817
133J02R	"DNA segment, 133J02R (Research Genetics)"		27813
137H23T7	"DNA segment, 137h23T7"		56583
138D12-SP6	"DNA segment, 138d12-Sp6"		53156
13.MMHAP42FLE1	"DNA segment, 13.MMHAP42FLE1"		110442
14C5SP6	"DNA segment, 14c5Sp6"		56570
14C5T7	"DNA segment, 14c5T7"		56567
156L3T7	"DNA segment, 156l3T7"		56575
15S	"DNA segment, 15S"		27453
15T	"DNA segment, 15T"		27457
162C8A2	"DNA segment, 162c8A2"		53098
167C5-T7	"DNA segment, 167c5-T7"		53139
167L17-T7	"DNA segment, 167L17-T7"		79203
16.MMHAP64FLF1.SEQ	"DNA segment, 16.MMHAP64FLF1.seq"		53300
16S	"DNA segment, 16S"		27471
16T	"DNA segment, 16T"		27469
1700049E17RIK1	"RIKEN cDNA 1700049E17 gene, gene 1"		666214
1700049E17RIK2	"tandem duplication of RIKEN cDNA 1700049E17 gene, gene 2"		100041722
170N17SP6	"DNA segment, 170n17Sp6"		56592
170N17T7	"DNA segment, 170n17T7"		56584
174G24SP6	"DNA segment, 174g24Sp6"		56593
175N10-SP6	"DNA segment, 175N10-Sp6"		53163
177I23SP6	"DNA segment, 177i23Sp6"		56594
17F4L	"DNA segment, 17F4L"		27462
17F4R	"DNA segment, 17F4R"		27495
184A16SP6	"DNA segment, 184a16Sp6"		56595
187C10-SP6	"DNA segment, 187c10-Sp6"		53160
18E	"DNA segment, 18E"		52982
195G2B	"DNA segment, 195g2B"		53061
196D11.T7	"DNA segment, 196D11.T7 (Roswell Park)"		27765
199O21-SP6	"DNA segment, 199O21-Sp6"		53162
199O21-T7	"DNA segment, 199O21-T7"		53146
1F8F121092	"DNA segment, 1f8f121092"		53164
1H9	"DNA segment, 1h9"		52977
1L	"DNA segment, 1L"		52937
1S	"DNA segment, 1S"		27450
1T	"DNA segment, 1T"		27448
200C3	"DNA segment, 200C3 Research Genetics"		53296
200H7R	"DNA segment, 200H7R"		56568
2.01E+11	"DNA segment, 201E9 Research Genetics"		53287
204D20SP6	"DNA segment, 204d20Sp6"		56596
20.MMHAP88FLG2	"DNA segment, 20.MMHAP88FLG2"		110456
20S	"DNA segment, 20S"		27475
20T	"DNA segment, 20T"		27476
210N7.T7	"DNA segment, 210N7.T7 (Roswell Park)"		27741
211N06F	"DNA segment, 211N06F (Research Genetics)"		27826
211N06R	"DNA segment, 211N06R (Research Genetics)"		27823
220N3-T7	"DNA segment, 220n3-T7"		53137
222B5S	"DNA segment, 222B5S"		27503
222B5T	"DNA segment, 222B5T"		27504
232B10C	"DNA segment, 232b10C"		53091
232B10D	"DNA segment, 232b10D"		53092
232B10F	"DNA segment, 232b10F"		53093
232B10HYACC	"DNA segment, 232b10HYACC"		53167
235M8.SP6	"DNA segment, 235M8.Sp6 (Roswell Park)"		53307
235M8.T7	"DNA segment, 235M8.T7 (Roswell Park)"		53305
236K12-SP6	"DNA segment, 236k12-Sp6"		53158
236M16SP6	"DNA segment, 236M16Sp6"		53148
236M20SP6	"DNA segment, 236m20Sp6"		56597
236M20T7	"DNA segment, 236m20T7"		56585
23H6SC34	"DNA segment, 23H6sc34 (Roswell Park)"		53306
23H6.SP6	"DNA segment, 23H6.Sp6 (Roswell Park)"		27740
23H6.T7	"DNA segment, 23H6.T7 (Roswell Park)"		27697
23.MHAA89F11.SEQ	"DNA segment, 23.MHAa89f11"		53166
240C11SP6	"DNA segment, 240c11Sp6"		56598
240C11T7	"DNA segment, 240c11T7"		56586
242D11L2	"DNA segment, 242D11L2"		56588
245A8.T7	"DNA segment, 245A8.T7 (Roswell Park)"		27738
247D24SP6	"DNA segment, 247d24Sp6"		56599
254L6.T7	"DNA segment, 254L6.T7 (Roswell Park)"		27739
256F23-T7	"DNA segment, 256f23-T7"		53150
256O10F	"DNA segment, 256O10F (Research Genetics)"		27814
256O10R	"DNA segment, 256O10R (Research Genetics)"		27816
2610044O15RIK8	RIKEN cDNA 2610044O15 gene		72139
268M14S	"DNA segment, 268M14S"		27522
272I21T	"DNA segment, 272I21T"		27521
273G21.T7	"DNA segment, 273G21.T7 (Roswell Park)"		27766
274M9-T7	"DNA segment, 274m9-T7"		53136
277I15-SP6	"DNA segment, 277i15-SP6"		53165
277I15-T7	"DNA segment, 277i15-T7"		53152
279P18SP6	"DNA segment, 279P18Sp6"		53147
2810047C21RIK1	RIKEN cDNA 2810047C21 gene 1		72716
2810047C21RIK2	RIKEN cDNA 2810047C21 gene 2		100042795
282H8SP6	"DNA segment, 282h8Sp6"		56589
283N3-T7	"DNA segment, 283n3-T7"		53135
291H24SP6	"DNA segment, 291h24Sp6"		56600
293M16.R	"DNA segment, 293M16.R"		276712
295F16.T7	"DNA segment, 295F16.T7 (Roswell Park)"		27767
29S	"DNA segment, 29S"		27485
